indicators_harmonized,km_gbf,sdg,cites,cms,iccwc,ramsar,unccd,policy,ipbes,Categories,Categories_2,Subcategories,Subcategories_2,usage,assess
shell sold units (number/year),NA,NA,NA,NA,NA,NA,NA,NA,1,Ecosystem services,NA,Nature contribution,NA,1,ga
shrinking of the arctic ice cover,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
silk cocoons (t/hear),NA,NA,NA,NA,NA,NA,NA,NA,1,Ecosystem services,NA,Nature contribution,NA,1,ga
sisal yields (t/ha/year),NA,NA,NA,NA,NA,NA,NA,NA,1,Ecosystem services,NA,Nature contribution,NA,1,ga
smoking,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
so2 emissions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
social progress index,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
social welfare function (swf),NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,va
societal behaviour,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
soil biodiversity,NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,State of biodiversity,NA,1,ga
soil carbon sequestration,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
soil degradation impact on crop productivity,NA,NA,NA,NA,NA,NA,NA,NA,1,Direct drivers,NA,NA,NA,1,ga
soil depth,NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,NA,Abiotic conditions,NA,1,ga
soil organic carbon,NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,NA,Abiotic conditions,NA,1,ga
soil organic carbon (correlative model),NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,NA,Abiotic conditions,NA,1,ga
soil organic carbon (mechanistic models),NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,NA,Abiotic conditions,NA,1,ga
soil quality,NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,NA,Abiotic conditions,NA,1,ga
soil quality impact on crop production,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
sounds associated with the forest,NA,NA,NA,NA,NA,NA,NA,NA,1,Knowledge systems,NA,ILK,NA,1,sua
spatial densities of relational values in an area,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,va
spatial distribution,NA,NA,NA,NA,NA,NA,NA,NA,1,Knowledge systems,NA,ILK,NA,1,ga
spatial distribution of species,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,sua
species abundance,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
species abundance distribution,NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,State of biodiversity,NA,1,ga
species area relationship,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
species dispersal ability,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
species distribution area and shift,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
species habitat index,1,NA,NA,NA,NA,NA,NA,1,1,biodiversity,NA,State of biodiversity,NA,1,ga
species occurrence records accessible through the global biodiversity information facility,1,NA,NA,NA,NA,NA,NA,1,1,Knowledge systems,NA,Information on biodiversity,NA,1,ga
species protection index,1,NA,NA,NA,NA,NA,NA,1,1,biodiversity,NA,Species conservation,NA,1,ga
species represented in the barcode of life data system,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
species richness,1,NA,NA,NA,NA,NA,NA,1,1,biodiversity,NA,State of biodiversity,NA,2,ga
species richness,1,NA,NA,NA,NA,NA,NA,1,1,biodiversity,NA,State of biodiversity,NA,2,ias
species richness per grid cell,NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,State of biodiversity,NA,1,ga
species status index,1,NA,NA,NA,NA,NA,NA,1,1,biodiversity,NA,State of biodiversity,NA,1,ga
species used for medicine,NA,NA,NA,NA,NA,NA,NA,NA,1,Knowledge systems,NA,ILK,NA,1,ga
species with data included in the global biodiversity information facility,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
specific humidity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
stability of land use and land cover,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
statistical capacity indicator for sustainable development goal monitoring,NA,1,NA,NA,NA,NA,NA,1,1,Knowledge systems,NA,Information on society and socio-economics,NA,1,sua
status of assessed fish stocks,NA,NA,NA,NA,NA,NA,NA,NA,1,Knowledge systems,NA,Information on biodiversity,NA,1,ga
stock status,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
stock values of natural capital,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,va
stranded debris,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
strength of people’s connection to the forest,NA,NA,NA,NA,NA,NA,NA,NA,1,Knowledge systems,NA,ILK,NA,1,sua
structural and functional connectivity of habitat,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,va
summer arctic sea ice extent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
"supply of fiber crops, resins, gum arabic",NA,NA,NA,NA,NA,NA,NA,NA,1,Ecosystem services,NA,Nature contribution,NA,1,ga
suspended organic carbon,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
sustainability and nutrient efficiency of national dietary outcomes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
sustainability and/or environmental themes as one of the general goals of education,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
sustainability dashboard,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,va
sustainable development goals (sdg) index,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
sustainable development goals index,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,va
sustainable development index (sdi),NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,va
sustainable economic welfare (isew),NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,va
"sustainable fisheries as a proportion of gross domestic product in small island developing states, least developed countries and all countries",NA,1,NA,NA,NA,NA,NA,1,1,Ecosystem services,Governance,Specific monetary valuation of nature contribution,Nature-based legislation,1,sua
sustainable fishing practices,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
sustainable resource management,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
sustainable well-being index (swi),NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,va
tannins (kg),NA,NA,NA,NA,NA,NA,NA,NA,1,Ecosystem services,NA,Nature contribution,NA,1,ga
taxa assessed for the iucn red list of threatened species,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
taxonomic diversity and distinctness,NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,State of biodiversity,NA,1,ga
temporal species turnover,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
terrestrial c sequestration,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
terrestrial c sequestration (model ensemble),NA,NA,NA,NA,NA,NA,NA,NA,1,Ecosystem services,NA,Nature contribution,NA,1,ga
terrestrial net primary production,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
terrestrial net primary production (model ensemble),NA,NA,NA,NA,NA,NA,NA,NA,1,Ecosystem services,NA,Nature contribution,NA,1,ga
terrestrial net primary production (remote-sensing),NA,NA,NA,NA,NA,NA,NA,NA,1,Ecosystem services,NA,Nature contribution,NA,1,ga
terrestrial vegetation biomass,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
themes in a text representing nature´s values,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,va
thousands of deaths each year,NA,NA,NA,NA,NA,NA,NA,NA,1,Human well-being,Knowledge systems,Healthy living conditions,Coverage of basic needs,1,ga
timber harvest (m3/ha/year),NA,NA,NA,NA,NA,NA,NA,NA,1,Ecosystem services,NA,Nature contribution,NA,1,ga
timber production (m3),NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
time needed or distance travelled to harvest resources,NA,NA,NA,NA,NA,NA,NA,NA,1,Knowledge systems,NA,ILK,NA,1,ga
"time needed to harvest resources, distance travelled to harvest resources",NA,NA,NA,NA,NA,NA,NA,NA,1,Knowledge systems,NA,ILK,NA,1,ga
tonnage of animal waste used for energy,NA,NA,NA,NA,NA,NA,NA,NA,1,Ecosystem services,NA,Nature contribution,NA,1,ga
"tonnage of biomass (sugar cane, corn, palm oil)",NA,NA,NA,NA,NA,NA,NA,NA,1,Ecosystem services,NA,Nature contribution,NA,1,ga
"tonnage of biomass (sugar cane, corn, palm oil), other energy crops",NA,NA,NA,NA,NA,NA,NA,NA,1,Ecosystem services,NA,Nature contribution,NA,1,ga
tonnage of cotton production,NA,NA,NA,NA,NA,NA,NA,NA,1,Ecosystem services,NA,Nature contribution,NA,1,ga
tonnage of fuelwood,NA,NA,NA,NA,NA,NA,NA,NA,1,Ecosystem services,NA,Nature contribution,NA,1,ga
tons of oil equivalent x price,NA,NA,NA,NA,NA,NA,NA,NA,1,Human assets,NA,Income,NA,1,ga
"total amount of funding for developing countries to promote the development, transfer, dissemination and diffusion of environmentally sound technologies",1,1,NA,NA,NA,NA,NA,1,1,Governance,NA,Nature-based funding,NA,1,sua
total dissolved solids (tds),NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
total extinction risk,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
total gobal population living in water scarce areas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
"total government revenue as a proportion of gross domestic product, by source",NA,1,NA,NA,NA,NA,NA,1,1,Human assets,NA,Information on society and socio-economics,NA,1,sua
total greenhouse gas emissions per year,NA,1,NA,NA,NA,NA,NA,1,1,Direct drivers,NA,Climate change,NA,2,ga
total greenhouse gas emissions per year,NA,1,NA,NA,NA,NA,NA,1,1,Direct drivers,NA,Climate change,NA,2,sua
total international migrant stock,NA,NA,NA,NA,NA,NA,NA,NA,1,Human assets,NA,Information on society and socio-economics,NA,1,ga
total land footprint,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
total official development assistance grants from all donors that focus on poverty reduction as a share of the recipient country’s gross national income,NA,1,NA,NA,NA,NA,NA,1,1,Human assets,Governance,State of economy,Legislation/governance,1,sua
total official flows (official development assistance plus other official flows) to the agriculture sector,NA,1,NA,NA,NA,NA,NA,1,1,Human assets,NA,State of economy,Information on society and socio-economics,1,sua
total official international support (official development assistance plus other official flows) to infrastructure,NA,1,NA,NA,NA,NA,NA,1,1,Human assets,NA,Infrastructure (build-up area),Information on society and socio-economics,1,sua
"total per capita expenditure on the preservation, protection and conservation of all cultural and natural heritage, by source of funding (public, private), type of heritage (cultural, natural) and level of government (national, regional, and local/municipal)",NA,1,NA,NA,NA,NA,NA,1,1,Human assets,NA,State of economy,Information on society and socio-economics,1,sua
total population,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
"total resource flows for development, by recipient and donor countries and type of flow (e.g. official development assistance, foreign direct investment and other flows)",NA,1,NA,NA,NA,NA,NA,1,1,Governance,NA,National/international cooperation,NA,1,sua
total richness of endemic species,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
total wood removals,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
tourism direct gross domestic product as a proportion of total gross domestic product and in growth rate,NA,1,NA,NA,NA,NA,NA,1,1,Human assets,NA,State of economy,NA,1,sua
toxocological potential of nanoparticals,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
trade in wild animals,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,sua
trade in wild mammals,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,sua
trade of silk,NA,NA,NA,NA,NA,NA,NA,NA,1,Human assets,Ecosystem services,Income,Nature contribution,1,ga
trait convergence assembly pattern (tcap),NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,State of biodiversity,NA,1,ga
trait divergence assembly pattern (tdap),NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,State of biodiversity,NA,1,ga
transfer of water to the atmosphere,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
tree cover,NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,State of biodiversity,NA,1,ga
trend in carbon intensity,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
trends in fisheries certified by the msc,NA,NA,NA,NA,NA,NA,NA,NA,1,Ecosystem services,NA,Specific mention of sustainable use of species/ecosystems,NA,1,ga
trends in forest extent,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
trends in invasive alien species vertebrate eradications,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
trends in nitrogen deposition,1,NA,NA,NA,NA,NA,NA,1,1,Direct drivers,NA,Pollution,NA,1,ga
trends in pesticide use,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
trends in potentially harmful elements of government support to agriculture (produced support estimates),NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
trends in potentially harmful elements of government support to fisheries,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
trends in soil organic carbon stock,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
trends in the numbers of invasive alien species introduction events,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
trends of populations of palatable or unpalatable species,NA,NA,NA,NA,NA,NA,NA,NA,1,Knowledge systems,NA,ILK,NA,1,ga
trophic level of the community,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
trophic level of the landed catch,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
tropical forest bii,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
tropical forest bii (hotspots),NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
tropical forest bii (indigenous lands),NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
tropical forest-monocrop conversions,NA,NA,NA,NA,NA,NA,NA,NA,1,Knowledge systems,NA,ILK,NA,1,ga
tropospheric temperature,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
types of agroecosystems,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
under-five child mortality rate,NA,1,NA,NA,NA,NA,NA,1,NA,Human assets,NA,Coverage of basic needs,NA,1,geo
underweight children,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
undp human development dashboard,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,va
"unemployment rate, by sex, age and persons with disabilities",NA,1,NA,NA,NA,NA,NA,1,1,Knowledge systems,NA,Information on society and socio-economics,NA,1,sua
united nations framework convention on climate change,NA,NA,NA,NA,NA,NA,NA,NA,1,Knowledge systems,Direct drivers,Information on society and socio-economics,Climate change,2,ga
united nations framework convention on climate change,NA,NA,NA,NA,NA,NA,NA,NA,1,Knowledge systems,Direct drivers,Information on society and socio-economics,Climate change,2,geo
united nations system of environmental economic accounting,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,va
universal female education,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
uplisting of species or populations from appendix ii to appendix i,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,sua
urban growth,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
urban population,NA,NA,NA,NA,NA,NA,NA,NA,1,Knowledge systems,NA,Information on society and socio-economics,NA,1,ga
us national ambient air quality standards,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
use of natural resource,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,va
value of catch,NA,NA,NA,NA,NA,NA,NA,NA,1,Human assets,Ecosystem services,State of economy,Nature contribution,1,ga
value of merchandise being exported,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
value of production,NA,NA,NA,NA,NA,NA,NA,NA,1,Human assets,NA,State of economy,NA,1,ga
variability in migration patterns,NA,NA,NA,NA,NA,NA,NA,NA,1,Knowledge systems,NA,ILK,NA,1,sua
vegetation biomass,NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,State of biodiversity,NA,1,ga
vegetation biomass (mechanistic models),NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,State of biodiversity,NA,1,ga
vegetation type and cover in areas prone to soil dust emission,NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,State of biodiversity,NA,1,ga
vegetation type and cover in areas prone to soil dust movement,NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,State of biodiversity,NA,1,ga
vegetation-atmosphere co2 exchange,NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,State of biodiversity,NA,1,ga
"visitation rate to natural terrestrial, coastal and marine areas",NA,NA,NA,NA,NA,NA,NA,NA,1,Governance,Knowledge systems,Broken governance,Information on society and socio-economics,1,ga
visitation rates of parks,NA,NA,NA,NA,NA,NA,NA,NA,1,Ecosystem services,Human well-being,Nature contribution,NA,1,ga
"visitation rates to natural terrestrial, coastal, and marine areas",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
visitation to national parks,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
visitation to natural areas,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
visitation to urban green spaces,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
volatile organic compounds emissions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
volume of production per labour unit by classes of farming/pastoral/forestry enterprise size,1,1,NA,NA,NA,NA,NA,1,1,Human assets,NA,State of economy,NA,1,sua
volume of remittances (in united states dollars) as a proportion of total gross domestic product,NA,1,NA,NA,NA,NA,NA,1,1,Human assets,NA,Information on society and socio-economics,NA,1,sua
volume of round wood production,NA,NA,NA,NA,NA,NA,NA,NA,1,Ecosystem services,NA,Nature contribution,NA,1,ga
wastewater treatment,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
water availability,NA,NA,NA,NA,NA,NA,NA,NA,1,Human assets,Ecosystem services,Coverage of basic needs,Nature contribution,1,ga
water available for people relative to demand,NA,NA,NA,NA,NA,NA,NA,NA,1,Human assets,Human well-being,Coverage of basic needs,Healthy living conditions,1,ga
water footprint,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
water infrastructure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
water quality,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
water quality index (watqi),NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
water quality risk index,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
water shortage,NA,NA,NA,NA,NA,NA,NA,NA,1,Human assets,Human well-being,Coverage of basic needs,Healthy living conditions,1,ga
water withdrawal,NA,NA,NA,NA,NA,NA,NA,NA,1,Ecosystem services,Human well-being,Nature contribution,Healthy living conditions,1,ga
water- saving devices,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
waxes (kg),NA,NA,NA,NA,NA,NA,NA,NA,1,Ecosystem services,NA,Nature contribution,NA,1,ga
weather patterns,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,sua
"weighted average tariffs faced by developing countries, least developed countries and small island developing states",NA,1,NA,NA,NA,NA,NA,1,1,Governance,NA,Legislation/governance,NA,1,sua
weighted endemisms,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
wetland area index,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
wetland extent trends index,1,NA,NA,NA,NA,NA,NA,1,1,ecosystems,NA,Change in ecosystems,NA,1,ga
wild bird index,1,NA,NA,NA,NA,NA,NA,1,1,biodiversity,NA,State of biodiversity,NA,1,ga
wild bird index (farmland birds),NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,State of biodiversity,NA,1,ga
wild bird index (habitat specialists),NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,State of biodiversity,NA,1,ga
wild mammal biomass,NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,State of biodiversity,NA,1,ga
wildlife picture index,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
willingness to allocate time for nature´s contributions to people conservation,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,va
willingness to give up access to land or other resources to protect nature,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,va
willingness to pay to protect nature or improve ecosystem services,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,va
willingness-to-participate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
women and girl’s education,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
world happiness index,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
world trade organisation greenbox agricultural subsidies,NA,NA,NA,NA,NA,NA,NA,NA,1,Governance,NA,Nature-based funding,NA,2,ga
world trade organisation greenbox agricultural subsidies,NA,NA,NA,NA,NA,NA,NA,NA,1,Governance,NA,Nature-based funding,NA,2,geo
worldwide weighted tariff-average,NA,1,NA,NA,NA,NA,NA,1,1,Ecosystem services,NA,Specific monetary valuation of nature contribution,NA,1,sua
"years of healthy life lost from heart disease, stroke, lung cancer, chronic lung disease and respiratory infections",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
yield (improvement),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
yield (production) in tonnage,NA,NA,NA,NA,NA,NA,NA,NA,1,Ecosystem services,NA,Specific monetary valuation of nature contribution,NA,1,ga
yield per hectare converted to caloric or nutrient yield,NA,NA,NA,NA,NA,NA,NA,NA,1,Ecosystem services,NA,Specific monetary valuation of nature contribution,NA,1,ga
zoonotic disease,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
