indicator_harmonized,indic_ids,sources,policy,Categories,Categories_2,Subcategories,Subcategories_2,source,mea
bird species per grid cell,GA_2.2_37_70;IPBES_GA2.2_sup_48,IPBES,0,biodiversity,NA,State of biodiversity,NA,IPBES,FALSE
blocking index,IPCC_8_47_395,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
blood pressure,GEO_21_17_251,GEO,0,Human well-being,NA,Healthy living conditions,NA,GEO,FALSE
blue water sustainability index,GA_3_76_401,IPBES,0,ecosystems,Ecosystem services,Area conservation,Nature contribution,IPBES,FALSE
body condition,SUA_2_97_80;SUA_4_89_132,IPBES,0,biodiversity,NA,State of biodiversity,NA,IPBES,FALSE
body fat,SUA_4_78_130,IPBES,0,biodiversity,NA,State of biodiversity,NA,IPBES,FALSE
body mass index,GEO_21_17_251,GEO,0,biodiversity,NA,State of biodiversity,NA,GEO,FALSE
boron-isotope,IPCC_2_14_37,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
buffer zones to protect catchment areas,GEO_17_8_200,GEO,0,ecosystems,NA,Area conservation,NA,GEO,FALSE
build up area,GEO_8_14_67;GEO_8_14_67,GEO,0,Human assets,NA,Infrastructure (build-up area),NA,GEO,FALSE
business operations,GEO_17_20_212,GEO,0,Governance,NA,Legislation/governance,NA,GEO,FALSE
by catch of vulnerable and non-target species,GBF_T5_CY_158,GBF,1,Direct drivers,NA,Specific mention of over-exploitation and unsustainable use of species/ecosystems,NA,GBF,TRUE
c pool,GA_4_34_176,IPBES,0,Ecosystem services,NA,Nature contribution,NA,IPBES,FALSE
c-haines index,IPCC_12_43_643,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
caloric intake,GA_2_22_28;GA_2_24_29,IPBES,0,Human well-being,NA,Healthy living conditions,NA,IPBES,FALSE
carbon sequestration,GA_2.3_56_155,IPBES,0,Ecosystem services,NA,Nature contribution,NA,IPBES,FALSE
"carbon stocks and annual net ghg emissions, by landuse category, split by natural and non-natural land cover",GBF_T8_CY_186,GBF,1,Direct drivers,NA,Climate change,NA,GBF,TRUE
carbon uptake by land and ocean,IPCC_4_8_220,IPCC,0,Ecosystem services,ecosystems,Nature contribution,State of ecosystems,IPCC,FALSE
catch per unit effort,SUA_2_96_79;SUA_2_97_80,IPBES,0,Ecosystem services,NA,Nature contribution,NA,IPBES,FALSE
catch per unit per effort,SUA_6_115_207,IPBES,0,Ecosystem services,NA,Nature contribution,NA,IPBES,FALSE
certified forest area,IPBES_GA2.1_sup_60,IPBES,0,Ecosystem services,NA,Specific mention of sustainable use of species/ecosystems,NA,IPBES,FALSE
change in # days hi>41°c,IPCC_12_24_613,IPCC,0,ecosystems,ecosystems,Abiotic conditions,Change in ecosystems,IPCC,FALSE
change in # days tx>35°c,IPCC_12_24_613,IPCC,0,ecosystems,ecosystems,Abiotic conditions,Change in ecosystems,IPCC,FALSE
change in # droughts,IPCC_12_24_613,IPCC,0,ecosystems,ecosystems,Abiotic conditions,Change in ecosystems,IPCC,FALSE
change in # soil moisture,IPCC_12_24_613,IPCC,0,ecosystems,ecosystems,Abiotic conditions,Change in ecosystems,IPCC,FALSE
change in extreme total water level,IPCC_12_24_613,IPCC,0,ecosystems,ecosystems,Abiotic conditions,Change in ecosystems,IPCC,FALSE
change in mean wind,IPCC_12_24_613,IPCC,0,ecosystems,ecosystems,Abiotic conditions,Change in ecosystems,IPCC,FALSE
change in the extent of inland water ecosystems over time,GBF_GA_CY_21,GBF,1,ecosystems,NA,State of ecosystems,Change in ecosystems,GBF,TRUE
change in the extent of water-related ecosystems over time,GBF_GA_C_9;SDG_G6.6.1_91;IPBES_SUA_sup_6.6.1_36,GBF;SDG;IPBES,1,ecosystems,NA,State of ecosystems,Change in ecosystems,GBF,TRUE
change in the extent of water-related ecosystems over time,GBF_GA_C_9;SDG_G6.6.1_91;IPBES_SUA_sup_6.6.1_36,GBF;SDG;IPBES,1,ecosystems,NA,State of ecosystems,Change in ecosystems,SDG,TRUE
change in the extent of water-related ecosystems over time,GBF_GA_C_9;SDG_G6.6.1_91;IPBES_SUA_sup_6.6.1_36,GBF;SDG;IPBES,1,ecosystems,NA,State of ecosystems,Change in ecosystems,IPBES,FALSE
change in the quality of coastal water ecosystems over time,GBF_GB_CY_70,GBF,1,ecosystems,NA,State of ecosystems (freshwater/coastal),Change in ecosystems,GBF,TRUE
change in the quality of inland water ecosystems over time,GBF_GB_CY_69,GBF,1,ecosystems,NA,State of ecosystems,Change in ecosystems,GBF,TRUE
change in water-use efficiency over time,GBF_T14_CY_213;SDG_G6.4.1_87;IPBES_SUA_sup_6.4.1_32,GBF;SDG;IPBES,1,Human assets,NA,Infrastructure (build-up area),NA,GBF,TRUE
change in water-use efficiency over time,GBF_T14_CY_213;SDG_G6.4.1_87;IPBES_SUA_sup_6.4.1_32,GBF;SDG;IPBES,1,Human assets,NA,Infrastructure (build-up area),NA,SDG,TRUE
change in water-use efficiency over time,GBF_T14_CY_213;SDG_G6.4.1_87;IPBES_SUA_sup_6.4.1_32,GBF;SDG;IPBES,1,Human assets,NA,Infrastructure (build-up area),NA,IPBES,FALSE
changes in evapotranspiration demand,IPCC_12_17_599,IPCC,0,ecosystems,ecosystems,Abiotic conditions,Change in ecosystems,IPCC,FALSE
changes in groundwater,IPCC_12_17_599,IPCC,0,ecosystems,ecosystems,Abiotic conditions,Change in ecosystems,IPCC,FALSE
changes in land versus world trade organisation greenbox agricultural subsidies,IPCC_2_31_65,IPCC,0,Governance,NA,Nature-based funding,NA,IPCC,FALSE
changes in low flows,IPCC_11_60_550,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
changes in mean precipitation,IPCC_4_49_249,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
changes in mean streamflow,IPCC_11_60_550,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
changes in observed cloud cover,IPCC_2_51_79,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
changes in phytoplankton phenology,IPCC_2_76_122,IPCC,0,biodiversity,NA,Change in biodiversity,NA,IPCC,FALSE
changes in plankton biomass and abundance,GBF_GA_CY_40,GBF,1,biodiversity,NA,Change in biodiversity,NA,GBF,TRUE
changes in precipitation,IPCC_12_17_599,IPCC,0,ecosystems,ecosystems,Abiotic conditions,Change in ecosystems,IPCC,FALSE
changes in precipitation frequency and intensity,IPCC_8_27_367,IPCC,0,ecosystems,Direct drivers,Abiotic conditions,Climate change,IPCC,FALSE
changes in soil moisture,IPCC_12_17_599,IPCC,0,ecosystems,ecosystems,Abiotic conditions,Change in ecosystems,IPCC,FALSE
changes in surface water,IPCC_12_17_599,IPCC,0,ecosystems,ecosystems,Abiotic conditions,Change in ecosystems,IPCC,FALSE
"changes in terrestrial, marine and freshwater vertebrate populations",GEO_21_10_246,GEO,0,biodiversity,NA,Change in biodiversity,NA,GEO,FALSE
"changes in the number of warm nights, warm days, cold nights, and cold days",IPCC_11_40_526,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
changing range of wild species,GA_2.2_6_56,IPBES,0,biodiversity,NA,Change in biodiversity,NA,IPBES,FALSE
changing status of evolutionary distinct and globally endangered species (edge index),GBF_T4_CY_148,GBF,1,biodiversity,NA,State of biodiversity,Change in biodiversity,GBF,TRUE
chemical contaminants,GEO_23_24_263,GEO,0,Direct drivers,NA,Pollution,NA,GEO,FALSE
child mortality,GA_2_22_28;GEO_22_21_257,IPBES;GEO,0,Human well-being,NA,Healthy living conditions,NA,IPBES,FALSE
child mortality,GA_2_22_28;GEO_22_21_257,IPBES;GEO,0,Human well-being,NA,Healthy living conditions,NA,GEO,FALSE
child mortality rate,IPBES_GA2.1_sup_22,IPBES,0,Human well-being,Human assets,Healthy living conditions,Information on society and socio-economics,IPBES,FALSE
childhood undernutrition,GEO_21_17_251,GEO,0,Human well-being,NA,Healthy living conditions,NA,GEO,FALSE
circulation,IPCC_2_26_47,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
circulation index,IPCC_4_8_221,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
cites parties that have implemented relevant resolutions and decisions,SUA_4_68_125,IPBES,0,Governance,NA,Nature-based legislation,NA,IPBES,FALSE
city biodiversity index,GA_3_115_417;GEO_13_14_128,IPBES;GEO,0,biodiversity,NA,State of biodiversity,NA,IPBES,FALSE
city biodiversity index,GA_3_115_417;GEO_13_14_128,IPBES;GEO,0,biodiversity,NA,State of biodiversity,NA,GEO,FALSE
climate related loss events,GEO_2_28_8,GEO,0,ecosystems,NA,Abiotic conditions,NA,GEO,FALSE
climate risk index,VA_6_64_156,IPBES,0,Direct drivers,NA,Natural drivers,NA,IPBES,FALSE
climate velocity,IPCC_12_14_593,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
climatic impact index,GBF_GB_CY_64;GA_3_35_362,GBF;IPBES,1,Direct drivers,NA,Climate change,NA,GBF,TRUE
climatic impact index,GBF_GB_CY_64;GA_3_35_362,GBF;IPBES,1,Direct drivers,NA,Climate change,NA,IPBES,FALSE
climatic impact index for birds,GA_3_72_395;IPBES_GA3_sup_39,IPBES,0,Direct drivers,biodiversity,Climate change,Change in biodiversity,IPBES,FALSE
climatic impact-driver (cid) duration,IPCC_12_22_609,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
climatic impact-driver (cid) frequency,IPCC_12_22_609,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
climatic impact-driver (cid) magnitude,IPCC_12_22_609,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
climatic impact-driver (cid) spatial extent,IPCC_12_22_609,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
climatic impact-driver (cid) timing,IPCC_12_22_609,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
clorophyll concentration,IPCC_2_75_119,IPCC,0,ecosystems,NA,State of ecosystems (marine),NA,IPCC,FALSE
cms connectivity indicator,GBF_GA_CY_49,GBF,1,biodiversity,NA,State of biodiversity,NA,GBF,TRUE
"cms national report format question, to ask about progress in implementing target 4",CMS_G1.4_6,CMS,1,Governance,NA,Nature-based legislation,NA,CMS,TRUE
co2 concentration,IPCC_4_79_266;GEO_7_7_63,IPCC;GEO,0,ecosystems,Direct drivers,Abiotic conditions,Climate change,IPCC,FALSE
co2 concentration,IPCC_4_79_266;GEO_7_7_63,IPCC;GEO,0,ecosystems,Direct drivers,Abiotic conditions,Climate change,GEO,FALSE
co2 emission per unit of value added,GBF_T14_CY_212;SDG_G9.4.1_123;IPBES_SUA_sup_9.4.1_65,GBF;SDG;IPBES,1,Direct drivers,NA,Climate change,NA,GBF,TRUE
co2 emission per unit of value added,GBF_T14_CY_212;SDG_G9.4.1_123;IPBES_SUA_sup_9.4.1_65,GBF;SDG;IPBES,1,Direct drivers,NA,Climate change,NA,SDG,TRUE
co2 emission per unit of value added,GBF_T14_CY_212;SDG_G9.4.1_123;IPBES_SUA_sup_9.4.1_65,GBF;SDG;IPBES,1,Direct drivers,NA,Climate change,NA,IPBES,FALSE
co2 emissions,GA_3_123_420,IPBES,0,Direct drivers,NA,Climate change,NA,IPBES,FALSE
coastal carbon-rich habitat,GA_2.2_37_70;IPBES_GA2.2_sup_4,IPBES,0,ecosystems,NA,State of ecosystems,NA,IPBES,FALSE
coastal protection habitats,GA_2.2_37_70;IPBES_GA2.2_sup_5,IPBES,0,ecosystems,NA,Area conservation,NA,IPBES,FALSE
cold season temperatures,IPCC_12_19_604,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
cold spell duration index: annual count of days with at least six consecutive days when tn <10th percentile,IPCC_sup_12,IPCC,0,Direct drivers,ecosystems,Climate change,Abiotic conditions,IPCC,FALSE
combined extreme index (cei),IPCC_11_40_527,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
combined sea level due to storm surge and tide,IPCC_12_45_645,IPCC,0,ecosystems,ecosystems,Abiotic conditions,State of ecosystems,IPCC,FALSE
commercial trade in wild-collected specimens,SUA_4_71_127,IPBES,0,Ecosystem services,NA,Nature contribution,NA,IPBES,FALSE
commodity index,GA_6_137_288,IPBES,0,Human assets,NA,State of economy,NA,IPBES,FALSE
community awareness,GEO_17_8_200,GEO,0,Knowledge systems,NA,Information on society and socio-economics,NA,GEO,FALSE
companies with policies for biodiversity-friendly practices,VA_4_28_109,IPBES,0,Knowledge systems,NA,Specific information on human-nature relationship,NA,IPBES,FALSE
comparison of the number of available first records of established alien species for a region with the total number of species recorded for the same region,IAS_2_14_17,IPBES,0,Knowledge systems,NA,Information on biodiversity,NA,IPBES,FALSE
complete phase-out of biomass use for cooking,GEO_22_21_257,GEO,0,Direct drivers,NA,Specific mention of over-exploitation and unsustainable use of species/ecosystems,NA,GEO,FALSE
"completion rate (primary education, lower secondary education, upper secondary education)",SDG_G4.1.2_57,SDG,1,Human assets,Human well-being,Coverage of basic needs,Equity,SDG,TRUE
comprehensiveness of conservation of socioeconomically as well as culturally valuable species,GBF_GA_CY_45,GBF,1,biodiversity,Human assets,Species conservation,Information on biodiversity,GBF,TRUE
concentration of hydrogen ions (h+),IAS_4_8_100,IPBES,0,ecosystems,NA,Abiotic conditions,NA,IPBES,FALSE
condition and size of wild animals,GA_2.2_65_113,IPBES,0,biodiversity,NA,State of biodiversity,NA,IPBES,FALSE
condition index,IAS_4_64_104,IPBES,0,biodiversity,NA,State of biodiversity,NA,IPBES,FALSE
"conflict-related deaths per 100,000 population, by sex, age and cause",SDG_G16.1.2_213,SDG,1,Human assets,Governance,Information on society and socio-economics,Broken governance,SDG,TRUE
connection to land,GA_2.3_36_133,IPBES,0,Knowledge systems,NA,Specific information on ILK and IPLC,NA,IPBES,FALSE
connection to sea,GA_2.3_36_133,IPBES,0,Knowledge systems,NA,Specific information on ILK and IPLC,NA,IPBES,FALSE
connectivity indicator,GBF_T3_C_22,GBF,1,ecosystems,NA,State of ecosystems (configuration),NA,GBF,TRUE
consecutive dry days (cdd),IPCC_11_58_543;IPCC_11_93_579;IPCC_12_17_601;IPCC_12_57_665,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
conservation status of species listed in the cites appendices has stabilized or improved,GBF_T4_C_29,GBF,1,ecosystems,NA,Species conservation,NA,GBF,TRUE
container port traffic (teu: 20 foot equivalent units),IPBES_GA2.1_sup_37,IPBES,0,Human assets,NA,Infrastructure (build-up area),NA,IPBES,FALSE
continuous global mangrove forest area,GBF_GA_CY_8,GBF,1,ecosystems,NA,State of ecosystems (configuration),NA,GBF,TRUE
contrast of mean precipitation between dry and wet regions and between dry and wet seasons,IPCC_4_49_249,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
convective available potential energy and wind shear,IPCC_12_66_684,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
convention of fishing and conservation of the living resources of the high seas,IPBES_GA2.1_sup_62,IPBES,0,Governance,NA,National/international cooperation,NA,IPBES,FALSE
convention on biological diversity,IPBES_GA2.1_sup_64,IPBES,0,Governance,NA,National/international cooperation,NA,IPBES,FALSE
convention on the conservation of antarctic marine living resources,IPBES_GA2.1_sup_65,IPBES,0,Governance,NA,National/international cooperation,NA,IPBES,FALSE
cooling degree day index,IPCC_12_54_662,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
cooling degree days,IPCC_12_46_648;IPCC_sup_42,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
coral bleaching,GEO_7_7_63,GEO,0,ecosystems,Direct drivers,Change in ecosystems,Climate change,GEO,FALSE
correlation between high cultural diversity and areas of high biodiversity,GA_2.3_71_160,IPBES,0,Knowledge systems,NA,Specific information on human-nature relationship,NA,IPBES,FALSE
corruption perception index,VA_3_27_60,IPBES,0,Governance,NA,Broken governance,NA,IPBES,FALSE
costs associated with maintaining ncps of past or future projects,VA_3_76_86,IPBES,0,Governance,NA,Nature-based funding,NA,IPBES,FALSE
costs associated with protecting nature and biodiversity,VA_3_76_86,IPBES,0,Governance,NA,Nature-based funding,NA,IPBES,FALSE
cover of key benthic groups,GBF_GA_CY_18,GBF,1,biodiversity,NA,State of biodiversity,NA,GBF,TRUE
coverage by protected areas of important sites for mountain biodiversity,GA_3_72_395,IPBES,0,ecosystems,NA,Area conservation,NA,IPBES,FALSE
coverage of essential health services,SDG_G3.8.1_44,SDG,1,Human well-being,NA,Wellness,NA,SDG,TRUE
coverage of fisheries with management measures to reduce bycatch and discards,GA_1_52_19,IPBES,0,Governance,Ecosystem services,Nature-based legislation,Specific mention of sustainable use of species/ecosystems,IPBES,FALSE
coverage of key habitats for migratory species in protected areas,CMS_G3.10_18,CMS,1,ecosystems,Governance,Area conservation,Nature-based legislation,CMS,TRUE
coverage of protected areas and other effective area-based conservation measures,GBF_T3_H_18,GBF,1,ecosystems,NA,Area conservation,NA,GBF,TRUE
coverage of protected areas and other effective area-based conservation measures and traditional territories (by governance type),GBF_T3_CY_139,GBF,1,ecosystems,NA,Area conservation,NA,GBF,TRUE
coverage of protected areas in relation to marine areas,GEO_14_14_147,GEO,0,ecosystems,NA,Area conservation,NA,GEO,FALSE
"coverage of treatment interventions (pharmacological, psychosocial and rehabilitation and aftercare services) for substance use disorders",SDG_G3.5.1_39,SDG,1,Human well-being,NA,Wellness,NA,SDG,TRUE
coverage of wetland dependent bird populations by designated ramsar sites. indicator from resolution ix.1 to be developed,RAMSAR_SG2.5_18,RAMSAR,1,biodiversity,ecosystems,Area conservation,Area conservation,RAMSAR,TRUE
coverage of wetland dependent non-avian populations by designated ramsar sites. indicator from resolution ix.1 to be developed,RAMSAR_SG2.5_19,RAMSAR,1,biodiversity,ecosystems,Area conservation,Area conservation,RAMSAR,TRUE
"credit to agriculture, forestry and fishing",IPBES_GA2.1_sup_66,IPBES,0,Governance,NA,Nature detrimental legislation,NA,IPBES,FALSE
crops and their dietary roles,GA_2.3_22_127,IPBES,0,Ecosystem services,Human well-being,Nature contribution,Healthy living conditions,IPBES,FALSE
cross-natrional comparative information on access to and ownership of land,GEO_3_10_20,GEO,0,Human well-being,NA,Equity,NA,GEO,FALSE
cultivated area,GA_2.3_39_137,IPBES,0,ecosystems,NA,State of ecosystems,NA,IPBES,FALSE
cultural continuity,SUA_2_95_77,IPBES,0,Knowledge systems,NA,Information on society and socio-economics,NA,IPBES,FALSE
cultural identity,GA_2_25_33,IPBES,0,Human well-being,Human well-being,Wellness,Cultural diversity,IPBES,FALSE
cultural vitality index,GBF_GB_CY_86,GBF,1,Human well-being,NA,Cultural diversity,NA,GBF,TRUE
culturally salient species,GA_2.2_5_55;GA_2.2_65_113,IPBES,0,Knowledge systems,NA,ILK,NA,IPBES,FALSE
cumulative ghg emissions,IPCC_1_58_23,IPCC,0,Direct drivers,NA,Climate change,NA,IPCC,FALSE
cumulative human impacts on marine ecosystems,GA_4_155_228,IPBES,0,Direct drivers,NA,Specific mention of over-exploitation and unsustainable use of species/ecosystems,NA,IPBES,FALSE
cumulative introduced invasive aliens,GA_2.2_37_70;GA_2.2_37_70;IPBES_GA2.2_sup_49;IPBES_GA2.2_sup_50,IPBES,0,Direct drivers,NA,Invasive alien species,NA,IPBES,FALSE
cumulative storm energy and storm power index,IPCC_12_20_606,IPCC,0,Ecosystem services,ecosystems,Nature contribution,Abiotic conditions,IPCC,FALSE
current distribution of species,IAS_2_155_79,IPBES,0,biodiversity,NA,State of biodiversity,NA,IPBES,FALSE
cyclical patterns of abundance,SUA_2_96_79,IPBES,0,biodiversity,NA,State of biodiversity,NA,IPBES,FALSE
"daily exposure natural terrestrial, coastal and marine areas",GA_2.3_42_143,IPBES,0,Ecosystem services,NA,Nature contribution,NA,IPBES,FALSE
daily maximum tempreature above 35°c,IPCC_12_11_589,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
daily precipitation,IPCC_11_25_512,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
daily temperature,IPCC_11_25_512;IPCC_11_37_520,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
daily temperature range: monthly mean difference between tx and tn,IPCC_sup_15,IPCC,0,Direct drivers,NA,Climate change,NA,IPCC,FALSE
damage to critical infrastructure,SDG_G11.5.3.a_150,SDG,1,Human assets,Knowledge systems,Infrastructure (build-up area),Information on society and socio-economics,SDG,TRUE
days of heavy precipitation,IPCC_11_53_541,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
death rate due to road traffic injuries,SDG_G3.6.1_41,SDG,1,Human assets,NA,Coverage of basic needs,NA,SDG,TRUE
