indicators_raw,gbf,ga,va,sua,sdg,ipbes,indicators_cleaned,indicators_harmonized,indicators_categorized,indicators_categorized2,duplicated_indicator
change in the quality of coastal water ecosystems over time,1,,,,,,change in the quality of water-related ecosystems over time,change in ecosystems,ecosystems,ecosystems,FALSE
change in the quality of inland water ecosystems over time,1,,,,,,change in the quality of water-related ecosystems over time,change in ecosystems,ecosystems,ecosystems,FALSE
change in water-use efficiency over time,1,,,1,1,1,change in water-use efficiency over time,exploitation,exploitation,direct drivers,FALSE
changes in plankton biomass and abundance,1,,,,,,changes in plankton biomass and abundance,change in biodiversity,biodiversity,biodiversity,FALSE
adverse changes in woody or shrubby vegetation,,1,,,,1,changes in woody or shrubby vegetation,change in biodiversity,biodiversity,biodiversity,FALSE
abundance of slowly changing ecosystems (time past last land use change),,1,,,,1,changing ecosystems,state of ecosystems,ecosystems,ecosystems,FALSE
changing migration patterns,,1,,,,1,changing migration patterns,change in biodiversity,biodiversity,biodiversity,FALSE
child malnutrition,,1,,,,1,child malnutrition,healthy living conditions,"acces to food, water, energy, livehood security and well-being",wellness,FALSE
child mortality rate,,1,,,,1,child mortality,information on society,scientific knowledge,scientific knowledge,FALSE
"education, child mortality, life expectancy",,1,,,,1,child mortality,information on society,scientific knowledge,scientific knowledge,TRUE
city biodiversity index,,1,,,,1,city biodiversity index,state of biodiveristy,biodiversity,biodiversity,FALSE
amounts provided and mobilized in united states dollars per year in relation to the continued existing collective mobilization goal of the $100 billion commitment through to 2025,,,,1,1,1,climate action,nature-based funding,legislative arrangements,governance,FALSE
climate action,,1,,,,1,climate action,climate change,climate change,direct drivers,FALSE
climate change,,,1,1,,1,climate change,climate change,climate change,direct drivers,FALSE
"local indicators of environmental change, protected areas, climate change mtigation",,1,,,,1,climate change mitigation,state of ecosystems (integrity),ecosystems,ecosystems,FALSE
climate regulation,,1,,,,1,climate regulation,nature contribution,ecosystem services,ecosystem services,FALSE
prevented emissions and uptake of greenhouse gases by ecosystems,,1,,,,1,climate regulation,nature contribution,ecosystem services,ecosystem services,FALSE
total climate regulation services provided by ecosystems by ecosystem type (system of environmental economic accounts),1,,,,,,climate regulation,nature contribution,ecosystem services,ecosystem services,FALSE
"index of species rarity sites, high biodiversity areas, large mammal landscapes, intact wilderness and climate stabilization areas",1,,,,,,climate stabilization areas,state of ecosystems (coverage),ecosystems,ecosystems,TRUE
climatic impact index,1,1,,,,1,climatic impact index,climate change,climate change,direct drivers,FALSE
climatic impact index for birds,,1,,,,1,climatic impact index,climate change,climate change,direct drivers,FALSE
climatic impacts on european and north american birds,,1,,,1,1,climatic impacts on european and north american birds,climate change,climate change,direct drivers,FALSE
cms connectivity indicator,1,,,,,,cms connectivity indicator,state of ecosystems (connectivity),ecosystems,ecosystems,FALSE
co2 emission per unit of value added,1,,,1,1,1,co2 emmisions,climate change,climate change,direct drivers,FALSE
co2 emmisions,,1,,,,1,co2 emmisions,climate change,climate change,direct drivers,FALSE
coastal carbon-rich habitat,,1,,,,1,coastal carbon-rich habitat,state of ecosystems,ecosystems,ecosystems,FALSE
(a) index of coastal eutrophication; and (b) plastic debris density,,,,,1,,coastal eutrophication,state of ecosystems (freshwater/coastal),ecosystems,ecosystems,FALSE
(a) index of coastal eutrophication; and (b) plastic debris densityi,,,,1,,1,coastal eutrophication,state of ecosystems (freshwater/coastal),ecosystems,ecosystems,FALSE
coastal forest distribution and extent,,1,,,,1,coastal forest extent,state of ecosystems (marine),ecosystems,ecosystems,FALSE
coastal: protection,,1,,,,1,coastal protection,nature contribution,ecosystem services,ecosystem services,FALSE
coastal protection,,1,,,,1,coastal protection habitats,area conservation,ecosystems,ecosystems,FALSE
coastal protection habitats,,1,,,,1,coastal protection habitats,state of ecosystems,ecosystems,ecosystems,FALSE
coastal protection habitats,,1,,,,1,coastal protection habitats,area conservation,ecosystems,ecosystems,TRUE
commodity index,,1,,,,1,commodity index,monetary nature contribution,ecosystem services,ecosystem services,FALSE
community-weighted mean trait value (cwm),,1,,,,1,community-weighted mean trait value (cwm),genetic resources,biodiversity,biodiversity,FALSE
"completion rate (primary education, lower secondary education, upper secondary education)",,,,,1,,"completion rate (primary education, lower secondary education, upper secondary education)",access to education,education,wellness,FALSE
concentration of dissolved salts and other dissolved substances,,1,,,,1,concentration of dissolved salts and other dissolved substances,pollution,pollution,direct drivers,FALSE
concentration of greenhouse gases in the atmosphere,,1,,,,1,concentration of greenhouse gases in the atmosphere,state of ecosystems (integrity),ecosystems,ecosystems,FALSE
ecosystem condition,,1,,,,1,condition of natural ecosystems,state of ecosystems,ecosystems,ecosystems,FALSE
quality of an ecosystem,,1,,,,1,condition of natural ecosystems,state of ecosystems,ecosystems,ecosystems,FALSE
"conflict-related deaths per 100,000 population, by sex, age and cause",,,,,1,,"conflict-related deaths per 100,000 population, by sex, age and cause",broken governance,legislative arrangements,governance,FALSE
connectivity indicator,1,,,,,,connectivity indicator,state of ecosystems (connectivity),ecosystems,ecosystems,FALSE
avearge conservation status,,1,,,,1,conservation status,species conservation,biodiversity,biodiversity,FALSE
conservation status of species listed in the cites appendices has stabilized or improved,1,,,,,,conservation status of species listed in the cites,species conservation,biodiversity,biodiversity,FALSE
considering the community and its relationship with nature,,,1,,,1,considering the community and its relationship with nature,information on human-nature relationship,scientific knowledge,scientific knowledge,FALSE
consultative or deliberative processes,,,1,,,1,consultative or deliberative processes,legislation/governance,legislative arrangements,governance,FALSE
consumer-facing products by distribution country,,,,1,,1,consumer-facing products by distribution country,state of economy,financial assets,financial assets,FALSE
container port traffic (teu: 20 foot equivalent units),,1,,,,1,container port traffic,state of economy,financial assets,financial assets,FALSE
aggregate value (could be a poor indicator fof the contribution to poverty alleviation),,1,,,,1,contribution to poverty alleviation,access to jobs/income,"acces to food, water, energy, livehood security and well-being",wellness,FALSE
convention of fishing and conservation of the living resources of the high seas,,1,,,,1,convention of fishing and conservation of the living resources of the high seas,nature-based legislation,legislative arrangements,governance,FALSE
convention on biological diversity,,1,,,,1,convention on biological diversity,nature-based legislation,legislative arrangements,governance,FALSE
cites vision 2008-2020,,,,1,,1,convention on international trade in endangered species of wild fauna and flora,nature-based legislation,legislative arrangements,governance,FALSE
convention on international trade in endangered species of wild fauna and flora,,,,1,,1,convention on international trade in endangered species of wild fauna and flora,nature-based legislation,legislative arrangements,governance,FALSE
number of cms daughter agreements,1,,,,,,convention on migratory species agreements,nature-based legislation,legislative arrangements,governance,FALSE
convention on the conservation of antarctic marine living resources,,1,,,,1,convention on the conservation of antarctic marine living resources,nature-based legislation,legislative arrangements,governance,FALSE
coral reef bleaching events,,1,,,,1,coral reef bleaching events,climate change,climate change,direct drivers,FALSE
coral reefs distribution and extent,,1,,,,1,coral reef extent,state of ecosystems (marine),ecosystems,ecosystems,FALSE
extent of coral reefs,,1,,,,1,coral reef extent,state of ecosystems (marine),ecosystems,ecosystems,FALSE
global coral reef extent,1,,,,,,coral reef extent,state of ecosystems (marine),ecosystems,ecosystems,FALSE
nature's importance to learning: correlation between high cultural diversity and areas of high biodiversity,,1,,,,1,correlation between high cultural diversity and areas of high biodiversity,information on human-nature relationship,scientific knowledge,scientific knowledge,FALSE
corruption perception index,,,1,,,1,corruption perception index,broken governance,legislative arrangements,governance,FALSE
cost reduction associated to prevented deaths caused by air pollution as consequence of ecosystems’ deposition of air pollutants,,1,,,,1,cost reduction associated to prevented deaths caused by air pollution as consequence of ecosystems’ deposition of air pollutants,monetary nature contribution,ecosystem services,ecosystem services,FALSE
cover of key benthic groups,1,,,,,,cover of key benthic groups,state of ecosystems (marine),ecosystems,ecosystems,FALSE
coverage of essential health services,,,,,1,,coverage of essential health services,access to health,health,wellness,FALSE
"coverage of treatment interventions (pharmacological, psychosocial and rehabilitation and aftercare services) for substance use disorders",,,,,1,,"coverage of treatment interventions (pharmacological, psychosocial and rehabilitation and aftercare services) for substance use disorders",access to health,health,wellness,FALSE
