indicators_harmonized,km_gbf,sdg,cites,cms,iccwc,ramsar,unccd,policy,ga,sua,va,ias,geo,ipcc,ipbes,var,ILK_indicators,indicator,Categories,Categories_2,Subcategories,Subcategories_2
trends of bilinguistic diversity and numbers of speakers of indigenous languages,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Human well-being,Knowledge systems,Cultural diversity,ILK
"index of development of the standard - setting framework for the protection and promotion of culture, cultural rights and cultural diversity",1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Governance,Human well-being,Legislation/governance,Cultural diversity
cultural vitality index,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Human well-being,NA,Cultural diversity,NA
unesco culture 2030 (multiple indicators),1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Governance,NA,National/international cooperation,NA
processes and tools to monitor the implementation of a right to a healthy environment,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
red list index (internationally traded species),1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,1,biodiversity,Ecosystem services,State of biodiversity,Nature contribution
number of users that have provided information relevant to the utilization of genetic resources to designated checkpoints,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,Genetic resources,NA
total number of internationally recognized certificates of compliance published in the abs clearing-house,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Knowledge systems,NA,Information on society and socio-economics,NA
number of checkpoint communiques published in the abs clearing-house,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Governance,NA,Legislation/governance,NA
number of internationally recognized certificates of compliance for non-commercial purposes,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Governance,NA,National/international cooperation,NA
"integration of biodiversity into national accounting and reporting systems, defined as implementation of the system of environmental-economic accounting",1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
finance mobilized for capacity-building,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Governance,NA,Legislation/governance,NA
"financial and technical assistance provided in dollars (including through south-south, northsouth and triangular cooperation)",1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Governance,NA,Legislation/governance,NA
"finance mobilized for promoting the development, transfer, dissemination and diffusion of technology",1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Governance,NA,Legislation/governance,NA
number of scientists per population,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Knowledge systems,NA,Information on society and socio-economics,NA
joint scientific papers published in ocean biodiversity information system (ocean biodiversity information system (obis)) by sector,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
nationally maintained research vessels,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Knowledge systems,NA,Information on society and socio-economics,NA
proportion of total research budget allocated to research in the field of marine technology,1,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,1,NA,1,Knowledge systems,NA,Information on society and socio-economics,NA
volume of official development assistance flows for scholarships by sector and type of study,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Human assets,NA,Coverage of basic needs,Information on society and socio-economics
global imports of information and communication technology (ict) goods as presented by bilateral trade flows by ict goods categories,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Human assets,NA,Information on society and socio-economics,NA
"total amount of funding for developing countries to promote the development, transfer, dissemination and diffusion of environmentally sound technologies",1,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA
number of countries using natural capital accounts in planning processes,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Governance,NA,Nature-based funding,NA
percentage of spatial plans utilizing information on key biodiversity areas,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Governance,NA,Nature-based legislation,NA
habitat patches located within marine protected areas or integrated coastal zone management (iczm),1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,NA,State of ecosystems (marine),NA
other spatial management plans (not captured as iczm or marine spatial planning in 14.2.1),1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Governance,NA,Nature-based legislation,NA
number of countries using ocean accounts in planning processes,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Governance,NA,Nature-based funding,NA
proportion of transboundary basin area with an operational arrangement for water cooperation,1,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,1,NA,1,Ecosystem services,NA,Nature contribution,NA
percent of total land area that is under cultivation,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,NA,State of ecosystems,NA
"number of countries implementing national legislation, policies or other measures regarding fpic related to conservation would work here for ips (not necessarily lcs), if spatial planning was substituted for conservation",1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
habitat distributional range,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,NA,State of ecosystems,NA
"index of species rarity sites, high biodiversity areas, large mammal landscapes, intact wilderness and climate stabilization areas",1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,biodiversity,State of ecosystems,Species conservation
increase in secondary natural forest cover,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,NA,Change in ecosystems,NA
annual tropical primary tree cover loss,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,NA,Change in ecosystems,NA
global ecosystem restoration index,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,1,ecosystems,NA,Area conservation,NA
percentage of cropped landscapes with at least 10 % natural land,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,NA,State of ecosystems,NA
status of key biodiversity areas,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,State of biodiversity,NA
"protected area downgrading, downsizing and degazettement (pd)",1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,NA,Change in ecosystems,NA
iucn green list of protected and conserved areas,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,NA,Area conservation,NA
number of hectares of unesco designated sites (natural and mixed world heritage sites and biosphere reserves),1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,NA,Area conservation,NA
protected area and oecm management effectiveness (mepca) indicator,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,Governance,Area conservation,Nature-based legislation
protected area isolation index (pai),1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,NA,State of ecosystems (coverage),NA
protected areas network metric (pronet),1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,NA,Area conservation,NA
extent to which protected areas and other effective area-based conservation measures (oecms) cover key biodiversity areas that are important for migratory species,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,biodiversity,State of ecosystems,State of biodiversity
coverage of protected areas and oecms and traditional territories (by governance type),1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,NA,Area conservation,NA
ramsar management effectiveness tracking tool (r-mett),1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,NA,Area conservation,Species conservation
percentage of biosphere reserves that have a positive conservation outcome and effective management,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Governance,ecosystems,Nature-based legislation,Area conservation
extent of indigenous peoples and local communities lands that have some form of recognition,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Knowledge systems,Human well-being,ILK,Equity
"number of countries implementing national legislation, policies or other measures regarding fpic related to conservation",1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Governance,NA,Nature-based legislation,NA
"proportion of terrestrial, freshwater and marine ecological regions which are conserved by protected areas or other effective area-based conservation measures",1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,NA,Area conservation,NA
species threat abatement and restoration metric,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,Species conservation,NA
changing status of evolutionary distinct and globally endangered species (edge index),1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,State of biodiversity,Change in biodiversity
number of cms daughter agreements,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Governance,NA,Nature-based legislation,NA
sustainable watershed and inland fisheries index,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Ecosystem services,NA,Specific mention of sustainable use of species/ecosystems,NA
red list index (internationally traded species and migratory species),1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
marine stewardship council fish catch,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Ecosystem services,NA,Specific mention of sustainable use of species/ecosystems,NA
total catch of cetaceans under international convention for the regulation of whaling,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Ecosystem services,NA,Specific mention of sustainable use of species/ecosystems,NA
by catch of vulnerable and non-target species,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Direct drivers,NA,Specific mention of over-exploitation and unsustainable use of species/ecosystems,NA
"degree of implementation of international instruments aiming to combat illegal, unreported and unregulated fishing",1,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,1,NA,1,Governance,Governance,Nature-based legislation,National/international cooperation
proportion of legal and illegal wildlife trade consisting of species threatened with extinction,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Ecosystem services,Direct drivers,Specific monetary valuation of nature contribution,Specific mention of over-exploitation and unsustainable use of species/ecosystems
illegal trade by cites species classification,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Direct drivers,NA,Specific mention of over-exploitation and unsustainable use of species/ecosystems,NA
number of countries incorporating trade in their national biodiversity policy,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Governance,NA,Nature-based legislation,NA
implementation of measures designed to minimize the impacts of fisheries and hunting on migratory species and their habitats,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Governance,NA,Nature-based legislation,NA
number of msc chain of custody certification holders by distribution country,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Ecosystem services,NA,Specific mention of sustainable use of species/ecosystems,NA
trends of trade and commercialization in biodiversity-based products that is sustainable and legal (in line with biotrade principles and/or cites requirements),1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Ecosystem services,NA,Specific mention of sustainable use of species/ecosystems,NA
number of invasive alien species in national lists as per the global register of introduced and invasive species,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Direct drivers,NA,Invasive alien species,NA
"trends in abundance, temporal occurrence, and spatial distribution of non-indigenous species, particularly invasive, non-indigenous species, notably in risk areas (in relation to the main vectors and pathways of spreading of such species)",1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,Direct drivers,State of biodiversity,Invasive alien species
red list index (impacts of invasive alien species),1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,1,biodiversity,Direct drivers,State of biodiversity,Invasive alien species
trends in loss of reactive nitrogen to the environment,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
trends in nitrogen deposition,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,1,NA,1,Direct drivers,NA,Pollution,NA
municipal solid waste collected and managed,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Governance,NA,Legislation/governance,NA
hazardous waste generation,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Direct drivers,NA,Specific mention of over-exploitation and unsustainable use of species/ecosystems,NA
trends in the amount of litter in the water column including microplastics and on the seafloor,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Direct drivers,NA,Pollution,NA
index of coastal eutrophication potential (icep) and (b) plastic debris density,1,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA
underwater noise pollution,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Direct drivers,NA,Pollution,NA
"name, amount/ volume/ concentration of highly hazardous pesticides by type (per land/marine area)",1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Direct drivers,NA,Pollution,NA
pesticide use per area of cropland,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Direct drivers,NA,Pollution,NA
above-ground biomass stock in forest,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies,1,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,1,NA,1,Governance,NA,NA,Legislation/governance
"number of least developed countries and small island developing states with nationally determined contributions, long-term strategies, national adaptation plans and adaptation communications, as reported to the secretariat of the united nations framework convention on climate change",1,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,1,NA,1,Governance,NA,Nature-based legislation,NA
index of coastal eutrophication potential (icep),1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA
"carbon stocks and annual net ghg emissions, by landuse category, split by natural and non-natural land cover",1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Direct drivers,NA,Climate change,NA
spawning stock biomass (related to commercially exploited species),1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Ecosystem services,biodiversity,Nature contribution,State of biodiversity
volume of production per labour unit by classes of farming/pastoral/forestry enterprise size,1,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,1,NA,1,Human assets,NA,State of economy,NA
agrobiodiversity index,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Ecosystem services,biodiversity,Nature contribution,State of biodiversity
changes in soil organic carbon stocks,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,NA,Change in ecosystems,NA
proportion of land that is degraded over total land area,1,1,NA,NA,NA,NA,1,1,NA,1,NA,NA,1,NA,1,1,NA,1,Direct drivers,NA,Land conversion,NA
air emission accounts,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Direct drivers,NA,Climate change,NA
proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,1,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,1,NA,1,Governance,NA,Legislation/governance,NA
proportion of population using safely managed drinking water services,1,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,1,1,NA,1,Human assets,NA,Coverage of basic needs,Information on society and socio-economics
mortality rate attributed to household and ambient air pollution,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Human well-being,Direct drivers,Healthy living conditions,Pollution
total number of transfers of crop material from the multilateral system of the international treaty on plant genetic resources for food and agriculture (itpgrfa) received in a country,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Knowledge systems,biodiversity,Information on biodiversity,Genetic resources
"total number of permits, or their equivalent, granted for access to genetic resources",1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Governance,biodiversity,Nature-based legislation,Genetic resources
"number of countries that require prior informed consent that have published legislative, administrative or policy measures on access and benefit-sharing in the abs clearing-house",1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Governance,NA,Nature-based legislation,NA
number of countries that require prior informed consent that have published information on abs procedures in the abs clearing-house,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Governance,NA,Nature-based legislation,NA
"number of countries that have adopted legislative, administrative and policy frameworks to ensure fair and equitable sharing of benefits",1,1,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,1,1,NA,1,Human well-being,NA,Equity,NA
estimated percentage of monetary and non-monetary benefits directed towards conservation and sustainable use of biodiversity,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
human appropriation of net primary production,1,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA
co2 emission per unit of value added,1,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,1,NA,1,Direct drivers,NA,Climate change,NA
change in water-use efficiency over time,1,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,1,NA,1,Human assets,NA,Infrastructure (build-up area),NA
number of companies publishing sustainability reports,1,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,1,NA,1,Knowledge systems,NA,Information on society and socio-economics,NA
recycling rate,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Knowledge systems,NA,Information on society and socio-economics,NA
life cycle impact assessment (lcia),1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
levels of poverty in developing communities,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Human assets,NA,Income,State of economy
number of countries that have the necessary biosafety legal and administrative measures in place,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Governance,NA,Nature-based legislation,NA
number of countries that implement their biosafety measures,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Governance,NA,Nature-based legislation,NA
number of countries that have the necessary measures and means for detection and identification of products of biotechnology,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Governance,NA,Nature-based legislation,NA
number of countries that carry out scientifically sound risk assessments to support biosafety decision-making,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Governance,NA,Nature-based legislation,NA
number of countries that establish and implement risk management measures,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Governance,NA,Nature-based legislation,NA
percentage of parties to the cartagena protocol on biosafety implementing the relevant provisions of the protocol,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Governance,NA,Nature-based legislation,NA
number of countries with legal and technical measures for restoration and compensation,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Governance,NA,Nature-based funding,NA
percentage of parties to the nagoya - kuala lumpur supplementary protocol,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Governance,NA,Nature-based legislation,NA
percentage of countries with systems in place for restoration and compensation of damage to conservation and sustainable use of biological diversity,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Governance,NA,Nature-based legislation,NA
number of countries with mechanisms to facilitate the sharing of and access to information on potential adverse impacts of biotechnology on biodiversity and human health,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Governance,NA,Nature-based legislation,NA
number of countries with biodiversity-relevant taxes,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Governance,NA,Nature-based funding,NA
number of countries with biodiversity-relevant charges and fees,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Governance,NA,Nature-based funding,NA
number of countries with biodiversity-relevant tradable permit schemes,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Governance,NA,Nature-based legislation,NA
