indicators_harmonized,ga,sua,va,geo,ipcc,km_gbf,sdg,ipbes,var,indic,ILK_indicators
distribution of terrestrial biota,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
global greening/browning,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
growing season of terrestrial biota,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
temperature,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
benthich isotopes,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
marine sediment cores,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
paleo-temperature records,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
zonally averaged mean annual temperature reconstructions,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
subsurface borehole temperature profiles,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
changes in land versus world trade organisation greenbox agricultural subsidies,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
radio occultation,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
global vegetation cover,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
atmospheric dust deposition,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
changes in observed cloud cover,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
satellite observations of precipitation,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
upper tropospheric humidity,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
sh monsoons,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
air moisture,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
loss of older ice,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
mean arctic sea ice area,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
marine sediments,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
whaling records,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
old ship logbooks,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
ice core records,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
early nimbus satellite visible and infrared imagery,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
glacier areal and mass changes/loss rate,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
greenland ice sheet fluctuations,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
marine sediments below the ice sheet,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
speleothem records,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
permafrost-vegetation relationships,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
permafrost temperature,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
ground subsidence,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
thermokarst,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
slope instability,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
ice cores,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
sediment cores,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
reef growth,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
atlantic meridional overturning circulation (amoc),NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
seasonal variations in atmospheric co2 concentrations,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
expansion of oligotrophic subtropical gyres of the atlantic and pacific oceans,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
phytoplankton abundance,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
clorophyll concentration,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
phytoplankton community structure,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
distribution of species,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
el niño-southern oscillation (enso) index,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
changes in phytoplankton phenology,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
ocean-colour,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
normalized difference vegetation index (ndvi),NA,NA,NA,1,1,NA,NA,NA,NA,1,NA
northernmost location of the treeline,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
ocenan ph,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
north atlantic oscillation (nao) index,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
northern annular mode (nam) index,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
southern annular mode (sam) index,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
oceanic niño index (oni),NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
southern oscillation index (soi),NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
pacific decadal oscillation (pdo),NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
inter-decadal pacific oscillation (ipo) index,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
atlantic multi-decadal variability (amv) index,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
volcanic activity,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
ghg changes,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
aerosol changes,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
tree rings,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
hadley circulation cell,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
sea ice thermodynamic,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
ocean temperature,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
atmosphere-land co2 fluxes,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
land-use and management,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
wildfires,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
indian ocean dipole index (iod),NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
indian ocean basin (iob) index,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
pacific decadal variability (pdv),NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
indian ocean dipole (ipo),NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
ocean salinity,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
global surface air temperature (gsat),NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
global land precipitation,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
arctic sea ice area,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
global mean ocean surface ph,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
carbon uptake by land and ocean,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
northern and southern annular modes (nam and sam),NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
precipitation index,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
circulation index,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
ocean ph,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
land monsoon precipitation index,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
northern hemisphere summer monsoon circulation index,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
el niño-southern oscillation (enso) index bjerknes index,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
changes in mean precipitation,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
contrast of mean precipitation between dry and wet regions and between dry and wet seasons,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
annular mode index,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
land-use co2 emissions,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
fossil co2 emissions,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
non-co2 fossil-fuel emissions,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
land-use related non-co2 emissions,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
co2 concentration,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA
ice core measurements,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
sink rate,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
15n/14n isotope ratio,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
position of 15n atom in atmospheric n2o,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
atmospheric inversions,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
interannual variability of primary production (pp),NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
global carbon budget,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
global dust deposition,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
global annual mean tropospheric ozone burden,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
tropospheric no2 abundance,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
satellite formaldehyde (hcho) observations,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
sulphate in precipitation,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
surface warming,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
sectoral emissions density,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
population-weighted pm2.5 concentrations,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
population-weighted ozone concentrations,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
transient climate response tcr,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
equilibrium climate sensitivity ecs,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
surface turbulent fluxes,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
aerosol index,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
ghs effective radiative forcing,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
antarctic ice sheet loss,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
net climate feedback,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
planck temperature response,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
world trade organisation greenbox agricultural subsidies sst,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
global surface temperature,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
toa energy budget,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
profile of effective radiative forcing (erf),NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
emission of particular compounds,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
radiative forcing,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
absolute global forcing potential (agfp),NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
absolute global temperature change potential (agtp),NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
changes in precipitation frequency and intensity,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
precipiation,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
snowfall,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
soil moisture,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
south pacific convergence zone (spcz),NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
inter-tropical convergence zone (itcz) narrowing,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
rainfall,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
poleward shifts in the south atlantic convergence zone (sacz),NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
land rainfall over mc,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
marine cloudiness over mc,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
surface moisture flux convergence,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
blocking index,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
water vapour residence time,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
plant water use efficiency (wue),NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
rainfall variability,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
tropical precipitation,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
atmospheric internal variability,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
volcanic eruptions,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
ocean heat content ohc,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
greenland blocking index,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
bedrock topography,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
grounding line retreat,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
retreat of ice sheet,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
glaciar mass loss,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
lake sediments,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
speleotherm records,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
tide gauge,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
power dissipation index,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
spatiotemporal variability of meteorological parameters,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
surface albedo,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
sedimentary records,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
extreme temperatures,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
daily precipitation,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
daily temperature,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
mean air temperature,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
"changes in the number of warm nights, warm days, cold nights, and cold days",NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
combined extreme index (cei),NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
minimum temperature,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
reduction in post-volcanic eruption extreme precipitation,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
simple daily intensity index (sdii),NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
highest five day precipitation amount (rx5day),NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
highest one day precipitation amount (rx1day),NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
days of heavy precipitation,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
annual precipitation from daily precipitation > 95th percentile (r95p),NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
standardized precipitation index (spi),NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
consecutive dry days (cdd),NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
precipitation deciles and percentiles,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
potential evaporation anomalies,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
evaporative demand drought index (eddi),NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
standardized soil moisture index (ssmi),NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
standardized runoff index (sri),NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
standardized streamflow index (ssi),NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
threshold level methods,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
standardized groundwater index (sgi),NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
palmer drought severity index (pdsi),NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
precipitation deficits,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
excess of atmospheric evaporative demand (aed),NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
soil moisture deficits,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
hydrological deficits,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
atmospheric evaporative demand (aed),NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
number of consecutive dry days (cdd),NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
total soil moisture,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
soil moisture-based drought events,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
surface soil moisture,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
water-balance estimates,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
changes in low flows,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
changes in mean streamflow,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
pan evaporation measurements,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
penman-monteith aed (atmospheric evaporative demand),NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
genesis potential index,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
increase in global tc maximum surface wind speeds,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
accumulated cyclone energy (ace),NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
heat index (hi),NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
daily maximum tempreature above 35°c,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
climate velocity,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
accumulated seasonal heat,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
extreme canopy temperatures,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
2 m air temperatures,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
heat stress (humidity and temperature),NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
10-day cumulative precipitation,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
precipitation intensity-duration thresholds,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
thresholds related to antecedent wet periods,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
thresholds related to antecedent extreme rainfall intensities,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
changes in soil moisture,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
changes in surface water,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
water table depth,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
rooting depth,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
changes in precipitation,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
changes in evapotranspiration demand,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
changes in groundwater,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
water flow volume,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
water intermittency thresholds,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
low-flows days,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
extreme low runoff,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
lightning frequency,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
fuel aridity,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
snow cover,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
local wind circulations,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
snow water equivalent at key seasonal dates,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
fraction of precipitation falling as snow,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
first and last days of snow cover,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
cold season temperatures,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
threshold when the local land elevation falls below the local mean higher high water (mhhw),NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
threshold when flooding occurs about once every two weeks,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
rate of rslr (relative sea level rise),NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
magnitude of shoreline retreat by a pre-determined planning horizon such as 50 or 100 years into the future,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
beach erosion volume due to the 100-year recurrence storm wave height,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
full exceedance probability distribution of coastal erosion volume,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
cumulative storm energy and storm power index,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
climatic impact-driver (cid) magnitude,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
climatic impact-driver (cid) frequency,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
climatic impact-driver (cid) duration,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
climatic impact-driver (cid) timing,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
climatic impact-driver (cid) spatial extent,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
change in # days tx>35°c,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
change in # days hi>41°c,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
change in # droughts,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
change in # soil moisture,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
change in mean wind,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
change in extreme total water level,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
areas below calcium carbonate saturation thresholds,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
drought index (di),NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
drought frequency (df),NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
forest fire danger index (ffdi),NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
c-haines index,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
combined sea level due to storm surge and tide,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
growing degree days,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
cooling degree days,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
wet bulb globe temperature (wbgt) index,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
maximum temperatures,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
cooling degree day index,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
heat stress index,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
heating degree day index,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
drought severity index,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
shoreline change (indicator of coastal erosion),NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
humidity,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
monthly drought code fire index,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
fire weather index (fwi),NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
maximum fire weather index,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
convective available potential energy and wind shear,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
degree heating weeks,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
degree heating months,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
maximum daytime heat index,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
regional deficit index,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
fire risk,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
"standardized precipitation
evapotranspiration index spei",NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
wet bulb temperature,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
greenhouse gas index (national oceanic and atmospheric administration),NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA
glacier mass balance,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA
northern hemisphere (mar-apr) snow cover,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA
specific humidity,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA
annual global mean surface temperature,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA
marine air temperature,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA
tropospheric temperature,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA
ocean heat content and specific humidity,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA
shrinking of the arctic ice cover,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA
increase in the global mean sea level,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA
altering of the carbon and biogeochemical cycles,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA
extent of ice cover,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA
summer arctic sea ice extent,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA
climate related loss events,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA
poverty,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA
zoonotic disease,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA
nutrition,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA
life expectancy,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA
economic growth,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA
inclusive societies,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA
environmentally friendly policy processes,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA
gender-disaggregated agricultural indices,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA
agricultural employment and landholders,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA
cross-natrional comparative information on access to and ownership of land,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA
sex-disaggregated burden-of-disease data,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA
underweight children,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA
global human settlement layer (ghsl),NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA
sustainability and/or environmental themes as one of the general goals of education,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA
integration of education for sustainable development (esd) in curricula,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA
integration of education for sustainable development (esd) in higher education,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA
loss of mass of mountain glaciers and polar ice sheets,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA
sea level rise,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA
mountain glaciers,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA
polar ice sheets,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA
antimicrobial resistence in pathogens,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA
toxocological potential of nanoparticals,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA
global temperature increase,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA
measured concentrations of o in the upper stratospere,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA
odss and ghgs,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA
o3 concentration,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA
pressure ozone trend,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA
o recovery,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA
national oceanic and atmospheric administration annual greenhouse gas index (aggi),NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA
air pollution exposure,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA
"years of healthy life lost from heart disease, stroke, lung cancer, chronic lung disease and respiratory infections",NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA
exposure to ambient pm,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA
"high blood pressure, smoking, low birth weight, high levels of blood sugar",NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA
high body mass index,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA
premature deaths,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA
exposure to high concentrations of pollutants,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA
safe level of annual average pm exposure,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA
disability-adjusted life years (dalys) lost,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA
premature deaths in 2016 to household air pollution,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA
urban growth,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA
habitat loss,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA
deforestation,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA
road construction,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA
species abundance,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA
