indic_id,indicator_type,Goal/target,Goal/target (explicit),Indicator name,Indicator,indicators,Availability,Time series,Update frequency,Data relevant at global scale,Data available/collated national scale,National methodology available,Institution,Other MEAs/Processes,Used in 5NR/6NR,BIP Indicator,Gender,indicators_harmonized
GBF_CY_T19_354,complementary,Target 19,,"Dollar value of financial and technical assistance (including through North-South, South-South and triangular cooperation) committed to developing countries","Dollar value of financial and technical assistance (including through North-South, South-South and triangular cooperation) committed to developing countries","Dollar value of financial and technical assistance (including through North-South, South-South and triangular cooperation) committed to developing countries",Available,,Yearly,Y,Y,Y,Organisation for Economic Co-operation and Development (OECD),SDG,N,N,N,"dollar value of financial and technical assistance (including through north-south, south-south and triangular cooperation) committed to developing countries"
GBF_CY_T19_355,complementary,Target 19,,Dollar value of all resources made available to strengthen statistical capacity in developing countries,Dollar value of all resources made available to strengthen statistical capacity in developing countries,Dollar value of all resources made available to strengthen statistical capacity in developing countries,Available,,Yearly,Y,Y,Y,Organisation for Economic Co-operation and Development (OECD),SDG,N,N,N,dollar value of all resources made available to strengthen statistical capacity in developing countries
GBF_CY_T19_356,complementary,Target 19,,Amount of biodiversity-related philanthropic funding,Amount of biodiversity-related philanthropic funding,Amount of biodiversity-related philanthropic funding,Available,,Yearly,N,Y,N,Organisation for Economic Co-operation and Development (OECD),N,N,N,N,amount of biodiversity-related philanthropic funding
GBF_CY_T19_357,complementary,Target 19,,Proportion of total research budget allocated to research in the field of marine technology,Proportion of total research budget allocated to research in the field of marine technology,Proportion of total research budget allocated to research in the field of marine technology,Available,,2 years,Y,Y,Y,"Intergovernmental Oceanographic Commission United Nations Educational, Scientific and Cultural Organization  (IOC-UNESCO)",SDG,N,N,N,proportion of total research budget allocated to research in the field of marine technology
GBF_CY_T19_358,complementary,Target 19,,"Total amount of approved funding for developing countries to promote the development, transfer, dissemination and diffusion of environmentally sound technologies","Total amount of approved funding for developing countries to promote the development, transfer, dissemination and diffusion of environmentally sound technologies","Total amount of approved funding for developing countries to promote the development, transfer, dissemination and diffusion of environmentally sound technologies",Available,,2 years,Y,Y,Y,United Nations Environment Programme (UNEP); Organisation for Economic Co-operation and Development (OECD),SDG,N,N,N,"total amount of funding for developing countries to promote the development, transfer, dissemination and diffusion of environmentally sound technologies"
GBF_CY_T19_359,complementary,Target 19,,Number of countries (and number of instruments) with payments for ecosystem services (PES) programmes,Number of countries (and number of instruments) with payments for ecosystem services (PES) programmes,Number of countries (and number of instruments) with payments for ecosystem services (PES) programmes,In development,,Data pending,Y,Y,Y,Organisation for Economic Co-operation and Development (OECD),N,N,N,N,number of countries (and number of instruments) with payments for ecosystem services (pes) programmes
GBF_CY_T19_360,complementary,Target 19,,"Number of countries that have (a) Assessed values of biodiversity, in accordance with the Convention, (b) Identified and reported funding needs, gaps and priorities (c)Developed national financial plans for biodiversity; (d) Been provided with the necessary funding and capacity building to undertake the above activities","Number of countries that have (a) Assessed values of biodiversity, in accordance with the Convention, (b) Identified and reported funding needs, gaps and priorities (c)Developed national financial plans for biodiversity; (d) Been provided with the necessary funding and capacity building to undertake the above activities","Number of countries that have (a) Assessed values of biodiversity, in accordance with the Convention, (b) Identified and reported funding needs, gaps and priorities (c)Developed national financial plans for biodiversity; (d) Been provided with the necessary funding and capacity building to undertake the above activities",Available,,Data pending,N,Y,Y,Secretariat of the Convention on Biological Diversity (SCBD),N,N,N,N,"number of countries that have (a) assessed values of biodiversity, in accordance with the convention, (b) identified and reported funding needs, gaps and priorities (c)developed national financial plans for biodiversity; (d) been provided with the necessary funding and capacity building to undertake the above activities"
GBF_CY_T21_362,complementary,Target 21,,Growth in number of records and species in the Living Planet Index database,Growth in number of records and species in the Living Planet Index database,Growth in number of records and species in the Living Planet Index database,Available,,Yearly,Y,N,N,Zoological Society London (ZSL),N,N,N,N,growth in number of records and species in the living planet index database
GBF_CY_T21_363,complementary,Target 21,,Growth in species occurrence records accessible through the Global Biodiversity Information Facility,Growth in species occurrence records accessible through the Global Biodiversity Information Facility,Growth in species occurrence records accessible through the Global Biodiversity Information Facility,Data pending,,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,species occurrence records accessible through the global biodiversity information facility
GBF_CY_T21_364,complementary,Target 21,,Growth in marine species occurrence records accessible through OBIS,Growth in marine species occurrence records accessible through OBIS,Growth in marine species occurrence records accessible through OBIS,Available,,Data pending,Y,N,N,"Intergovernmental Oceanographic Commission United Nations Educational, Scientific and Cultural Organization (IOC-UNESCO)",N,N,N,N,growth in marine species occurrence records accessible through ocean biodiversity information system (obis)
GBF_CY_T21_365,complementary,Target 21,,Proportion of known species assessed through the IUCN Red List.,Proportion of known species assessed through the IUCN Red List.,Proportion of known species assessed through the IUCN Red List,Available,,Yearly,Y,N,Y,International Union for Conservation of Nature (IUCN),N,6NR 2 out of 20 countries sampled,Y,N,proportion of known species assessed through the iucn red list of threatened species
GBF_CY_T21_366,complementary,Target 21,,Number of assessments on the IUCN Red List of threatened species,Number of assessments on the IUCN Red List of threatened species,Number of assessments on the IUCN Red List of threatened species,Available,,Yearly,Y,N,N,International Union for Conservation of Nature (IUCN),N,N,Y,N,number of assessments on the iucn red list of threatened species
GBF_CY_T21_367,complementary,Target 21,,World Association of Zoos and Aquariums (WAZA) bio-literacy survey (Biodiversity literacy in global zoo and aquarium visitors),World Association of Zoos and Aquariums (WAZA) bio-literacy survey (Biodiversity literacy in global zoo and aquarium visitors),World Association of Zoos and Aquariums (WAZA) bio-literacy survey (Biodiversity literacy in global zoo and aquarium visitors),Available,,Data pending,Y,N,N,Chester Zoo; World Association of Zoos and Aquariums (WAZA),N,N,Y,Y,world association of zoos and aquariums (waza) bio-literacy survey (biodiversity literacy in global zoo and aquarium visitors)
GBF_CY_T21_368,complementary,Target 21,,Species Status Information Index,Species Status Information Index,Species Status Information Index,Data pending,,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,species status index
GBF_CY_T22_369,complementary,Target 22,,"Percentage of positions in national and local institutions, including (a) the legislatures; (b) the public service; and (c) the judiciary, compared to national distributions, by sex, age, persons with disabilities and population groups","Percentage of positions in national and local institutions, including (a) the legislatures; (b) the public service; and (c) the judiciary, compared to national distributions, by sex, age, persons with disabilities and population groups","Percentage of positions in national and local institutions, including (a) the legislatures; (b) the public service; and (c) the judiciary, compared to national distributions, by sex, age, persons with disabilities and population groups",Available,,Yearly,Y,Y,Y,NA,NA,N,N,Y,"percentage of positions in national and local institutions, including (a) the legislatures; (b) the public service; and (c) the judiciary, compared to national distributions, by sex, age, persons with disabilities and population groups"
GBF_CY_T22_370,complementary,Target 22,,Number of countries with systems to track and make public allocations for gender equality and women's empowerment,Number of countries with systems to track and make public allocations for gender equality and women's empowerment,Number of countries with systems to track and make public allocations for gender equality and women's empowerment,Available,,6 months,Y,Y,Y,Organisation for Economic Co-operation and Development (OECD); United Nations (UN) Women; United Nations Development Programme (UNDP),SDG,N,N,Y,number of countries with systems to track and make public allocations for gender equality and women's empowerment
GBF_CY_T22_371,complementary,Target 22,,"Proportion of total agricultural population with ownership or secure tenure rights over agricultural land, by sex; and (b) share of women among owners or rights-bearers of agricultural land, by type of tenure","Proportion of total agricultural population with ownership or secure tenure rights over agricultural land, by sex; and (b) share of women among owners or rights-bearers of agricultural land, by type of tenure","Proportion of total agricultural population with ownership or secure tenure rights over agricultural land, by sex; and (b) share of women among owners or rights-bearers of agricultural land, by type of tenure",Available,,Data pending,N,Y,Y,Food and Agriculture Organization (FAO),SDG,N,Data pending,Y,"proportion of total agricultural population with ownership or secure rights over agricultural land, by sex and (b) share of women among owners or rights-bearers of agricultural land, by type of tenure"
GBF_CY_T22_372,complementary,Target 22,,Number of countries where the legal framework (including customary law) guarantees women's equal rights to land ownership and/or control,Number of countries where the legal framework (including customary law) guarantees women's equal rights to land ownership and/or control,Number of countries where the legal framework (including customary law) guarantees women's equal rights to land ownership and/or control,Available,,2 years,Y,Y,Y,Food and Agriculture Organization (FAO),SDG,N,N,Y,number of countries where the legal framework (including customary law) guarantees women's equal rights to land ownership and/or control
GBF_CY_T22_373,complementary,Target 22,,Number of protected areas that have completed a site-level assessment of governance and equity (SAGE),Number of protected areas that have completed a site-level assessment of governance and equity (SAGE),Number of protected areas that have completed a site-level assessment of governance and equity (SAGE),In development,,Data pending,N,N,N,International Institute for Environment and Development (IIED),N,N,N,Y,number of protected areas that have completed a site-level assessment of governance and equity (sage)
GBF_CY_T22_374,complementary,Target 22,,"Trends in number of environmental human rights defenders killed annually, disaggregated by country, gender; number of indigenous environmental human rights defenders kill","Trends in number of environmental human rights defenders killed annually, disaggregated by country, gender; number of indigenous environmental human rights defenders kill","Trends in number of environmental human rights defenders killed annually, disaggregated by country, gender; number of indigenous environmental human rights defenders kill",Available,,Yearly,Y,N,Y,Global Witness,N,N,N,Y,"trends in number of environmental human rights defenders killed annually, disaggregated by country, gender; number of indigenous environmental human rights defenders kill"
GBF_CY_T22_375,complementary,Target 22,,Land tenure [in the traditional territories] of indigenous peoples and local communities [by sex and type of tenure],Land tenure [in the traditional territories] of indigenous peoples and local communities [by sex and type of tenure],Land tenure [in the traditional territories] of indigenous peoples and local communities [by sex and type of tenure],Data pending,,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,land tenure [in the traditional territories] of indigenous peoples and local communities [by sex and type of tenure]
GBF_CY_T22_376,complementary,Target 22,,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group","Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group","Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group",Data pending,,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,"proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group"
GBF_CY_T23_377,complementary,Target 23,,"Percentage of positions in national and local institutions, including (a) the legislatures; (b) the public service; and (c) the judiciary, compared to national distributions, by sex, age, persons with disabilities and population groups","Percentage of positions in national and local institutions, including (a) the legislatures; (b) the public service; and (c) the judiciary, compared to national distributions, by sex, age, persons with disabilities and population groups","Percentage of positions in national and local institutions, including (a) the legislatures; (b) the public service; and (c) the judiciary, compared to national distributions, by sex, age, persons with disabilities and population groups",Available,,Yearly,Y,Y,Y,Inter-Parliamentary Union (IPU); United Nations Development Programme (UNDP); Oslo Governance Centre,SDG,N,N,Y,"percentage of positions in national and local institutions, including (a) the legislatures; (b) the public service; and (c) the judiciary, compared to national distributions, by sex, age, persons with disabilities and population groups"
GBF_CY_T23_378,complementary,Target 23,,"Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex; and (b) share of women among owners or rights-bearers of agricultural land, by type of tenure","Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex; and (b) share of women among owners or rights-bearers of agricultural land, by type of tenure","Proportion of total agricultural population with ownership or secure tenure rights over agricultural land, by sex; and (b) share of women among owners or rights-bearers of agricultural land, by type of tenure",Available,,Data pending,N,Y,Y,Food and Agriculture Organization (FAO),SDG,N,Data pending,Y,"proportion of total agricultural population with ownership or secure rights over agricultural land, by sex and (b) share of women among owners or rights-bearers of agricultural land, by type of tenure"
GBF_CY_T23_379,complementary,Target 23,,Number of countries with systems to track and make public allocations for gender equality and women's empowerment,Number of countries with systems to track and make public allocations for gender equality and women's empowerment,Number of countries with systems to track and make public allocations for gender equality and women's empowerment,Available,,6 months,Y,Y,Y,United Nations Development Programme (UNDP); United Nations Women; Organisation for Economic Co-operation and Development  (OECD),SDG,N,N,Y,number of countries with systems to track and make public allocations for gender equality and women's empowerment
GBF_CY_T23_380,complementary,Target 23,,Number of protected areas that have completed a site-level assessment of governance and equity (SAGE),Number of protected areas that have completed a site-level assessment of governance and equity (SAGE),Number of protected areas that have completed a site-level assessment of governance and equity (SAGE),In development,,Data pending,N,N,N,International Institute for Environment and Development (IIED),N,N,N,Y,number of protected areas that have completed a site-level assessment of governance and equity (sage)
GBF_CY_T23_381,complementary,Target 23,,"Percentage of population who believe decision making is inclusive and responsive, by sex, age, disability and population group","Percentage of population who believe decision making is inclusive and responsive, by sex, age, disability and population group","Percentage of population who believe decision making is inclusive and responsive, by sex, age, disability and population group",Data pending,,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,"percentage of population who believe decision making is inclusive and responsive, by sex, age, disability and population group"
GBF_CY_T23_382,complementary,Target 23,,Proportion of countries where the legal framework (including customary law) guarantees women's equal rights to land ownership and/or control,Proportion of countries where the legal framework (including customary law) guarantees women's equal rights to land ownership and/or control,Proportion of countries where the legal framework (including customary law) guarantees women equal rights to land ownership and/or control,Data pending,,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,proportion of countries where the legal framework (including customary law) guarantees women equal rights to land ownership and/or control
