indicators_harmonized,ids,mea,ipbes,Categories,Subcategories,Categories_2,Subcategories_2,indicators_orig
number of countries using ecosystem-based approaches to managing marine areas,SDG_14_2_1_203,SDG,1,Governance,Nature-Based Legislation,NA,NA,Number of countries using ecosystem-based approaches to managing marine areas
average marine acidity (ph) measured at agreed suite of representative sampling stations,SDG_14_3_1_204,SDG,1,Ecosystems,State Of Ecosystems (Marine),Direct Drivers,Climate Change,Average marine acidity (pH) measured at agreed suite of representative sampling stations
coverage of protected areas in relation to marine areas,SDG_14_5_1_206,SDG,1,Ecosystems,Area Conservation,NA,NA,Coverage of protected areas in relation to marine areas
"sustainable fisheries as a proportion of gross domestic product in small island developing states, least developed countries and all countries",SDG_14_7_1_208,SDG,1,Ecosystem Services,Specific Monetary Valuation Of Nature Contribution,Governance,Nature-Based Legislation,"Sustainable fisheries as a proportion of GDP in small island developing States, least developed countries and all countries"
degree of application of a legal/regulatory/ policy/institutional framework which recognizes and protects access rights for small-scale fisheries,SDG_14_b_1_210,SDG,1,Governance,Nature-Based Legislation,Ecosystem Services,Specific Mention Of Sustainable Use Of Species/Ecosystems,Degree of application of a legal/regulatory/ policy/institutional framework which recognizes and protects access rights for small-scale fisheries
"number of countries making progress in ratifying, accepting and implementing through legal, policy and institutional frameworks, ocean-related instruments that implement international law, as reflected in the united nations convention on the law of the sea, for the conservation and sustainable use of the oceans and their resources",SDG_14_c_1_211,SDG,1,Governance,Nature-Based Legislation,NA,NA,"Number of countries making progress in ratifying, accepting and implementing through legal, policy and institutional frameworks, ocean-related instruments that implement international law, as reflected in the United Nations Convention on the Law of the Sea, for the conservation and sustainable use of the oceans and their resources"
"proportion of important sites for terrestrial and freshwater biodiversity that are covered by protected areas, by ecosystem type",SDG_15_1_2_213,SDG,1,Ecosystems,Area Conservation,NA,NA,"Proportion of important sites for terrestrial and freshwater biodiversity that are covered by protected areas, by ecosystem type"
coverage by protected areas of important sites for mountain biodiversity,SDG_15_4_1_216,SDG,1,Ecosystems,Area Conservation,NA,NA,Coverage by protected areas of important sites for mountain biodiversity
proportion of traded wildlife that was poached or illicitly trafficked,"SDG_15_7_1_220,SDG_15_c_1_228",SDG,1,Direct Drivers,Specific Mention Of Over-Exploitation And Unsustainable Use Of Species/Ecosystems,NA,NA,"Proportion of traded wildlife that was poached or illicitly trafficked,Proportion of traded wildlife that was poached or illicitly trafficked"
proportion of countries adopting relevant national legislation and adequately resourcing the prevention or control of invasive alien species,SDG_15_8_1_221,SDG,1,Governance,Nature-Based Legislation,NA,NA,Proportion of countries adopting relevant national legislation and adequately resourcing the prevention or control of invasive alien species
number of countries that have established national targets in accordance with or similar to aichi biodiversity target 2 of the strategic plan for biodiversity 2011-2020 in their national biodiversity strategy and action plans and the progress reported towards these targets,SDG_15_9_1_a_222,SDG,1,Governance,Nature-Based Legislation,NA,NA,"(a) Number of countries that have established national targets in accordance with or similar to Aichi Biodiversity Target 2 of the Strategic Plan for Biodiversity 2011–2020 in their national biodiversity strategy and action plans and the progress reported towards these targets; and (b) integration of biodiversity into national accounting and reporting systems, defined as implementation of the System of Environmental-Economic Accounting"
official development assistance on conservation and sustainable use of biodiversity,"SDG_15_a_1_a_224,SDG_15_b_1_a_226",SDG,1,Governance,Nature-Based Legislation,NA,NA,"(a) Official development assistance on conservation and sustainable use of biodiversity; and (b) revenue generated and finance mobilized from biodiversity-relevant economic instruments,(a) Official development assistance on conservation and sustainable use of biodiversity; and (b) revenue generated and finance mobilized from biodiversity-relevant economic instruments"
revenue generated and finance mobilized from biodiversity-relevant economic instruments,"SDG_15_a_1_b_225,SDG_15_b_1_b_227",SDG,1,Governance,Nature-Based Legislation,NA,NA,"(a) Official development assistance on conservation and sustainable use of biodiversity; and (b) revenue generated and finance mobilized from biodiversity-relevant economic instruments,(a) Official development assistance on conservation and sustainable use of biodiversity; and (b) revenue generated and finance mobilized from biodiversity-relevant economic instruments"
"number of victims of intentional homicide per 100,000 population, by sex and age",SDG_16_1_1_229,SDG,NA,Human Assets,Information On Society And Socio-Economics,Governance,Broken Governance,"Number of victims of intentional homicide per 100,000 population, by sex and age"
"conflict-related deaths per 100,000 population, by sex, age and cause",SDG_16_1_2_230,SDG,NA,Human Assets,Information On Society And Socio-Economics,Governance,Broken Governance,"Conflict-related deaths per 100,000 population, by sex, age and cause"
proportion of population subjected to physical violence in the previous 12 months,SDG_16_1_3_a_231,SDG,NA,Human Assets,Information On Society And Socio-Economics,Governance,Broken Governance,"Proportion of population subjected to (a) physical violence, (b) psychological violence and (c) sexual violence in the previous 12 months"
proportion of population subjected to psychological violence in the previous 12 months,SDG_16_1_3_b_232,SDG,NA,Human Assets,Information On Society And Socio-Economics,Governance,Broken Governance,"Proportion of population subjected to (a) physical violence, (b) psychological violence and (c) sexual violence in the previous 12 months"
proportion of population subjected to sexual violence in the previous 12 months,SDG_16_1_3_c_233,SDG,NA,Human Assets,Information On Society And Socio-Economics,Governance,Broken Governance,"Proportion of population subjected to (a) physical violence, (b) psychological violence and (c) sexual violence in the previous 12 months"
proportion of population that feel safe walking alone around the area they live after dark,SDG_16_1_4_234,SDG,NA,Human Well-Being,Equity,Knowledge Systems,Information On Society And Socio-Economics,Proportion of population that feel safe walking alone around the area they live after dark
proportion of children aged 1-17 years who experienced any physical punishment and/or psychological aggression by caregivers in the past month,SDG_16_2_1_235,SDG,NA,Human Assets,Information On Society And Socio-Economics,Governance,Broken Governance,Proportion of children aged 1–17 years who experienced any physical punishment and/or psychological aggression by caregivers in the past month
"number of victims of human trafficking per 100,000 population, by sex, age and form of exploitation",SDG_16_2_2_236,SDG,NA,Human Assets,Information On Society And Socio-Economics,Governance,Broken Governance,"Number of victims of human trafficking per 100,000 population, by sex, age and form of exploitation"
proportion of young women and men aged 18-29 years who experienced sexual violence by age 18,SDG_16_2_3_237,SDG,NA,Human Assets,Information On Society And Socio-Economics,Governance,Broken Governance,Proportion of young women and men aged 18–29 years who experienced sexual violence by age 18
proportion of victims of violence in the previous 12 months who reported their victimization to competent authorities or other officially recognized conflict resolution mechanisms,SDG_16_3_1_238,SDG,NA,Human Well-Being,Wellness,Governance,Broken Governance,Proportion of victims of violence in the previous 12 months who reported their victimization to competent authorities or other officially recognized conflict resolution mechanisms
