indicators_harmonized,policy,assessment,sources,ipbes,usage,usage_policy,usage_assess,usage_ipbes,indic,indic_ext,var_ext,Categories,Categories_2,Subcategories,Subcategories_2
"number of countries implementing national legislation, policies or other measures regarding fpic related to conservation would work here for ips (not necessarily lcs), if spatial planning was substituted for conservation",1,0,GBF,NA,1,1,0,0,1,NA,NA,Knowledge Systems,NA,Specific Information On Ilk And Iplc,NA
habitat distributional range,1,0,GBF,NA,1,1,0,0,1,NA,NA,Ecosystems,NA,State Of Ecosystems,NA
"index of species rarity sites, high biodiversity areas, large mammal landscapes, intact wilderness and climate stabilization areas",1,0,GBF,NA,1,1,0,0,1,1,NA,Ecosystems,Biodiversity,State Of Ecosystems,Species Conservation
increase in secondary natural forest cover,1,0,GBF,NA,1,1,0,0,1,NA,NA,Ecosystems,NA,Change In Ecosystems,NA
annual tropical primary tree cover loss,1,0,GBF,NA,1,1,0,0,1,NA,NA,Ecosystems,NA,Change In Ecosystems,NA
global ecosystem restoration index,1,1,"GA,GBF",1,2,1,1,1,1,1,NA,Ecosystems,NA,Area Conservation,NA
percentage of cropped landscapes with at least 10 % natural land,1,0,GBF,NA,1,1,0,0,1,NA,NA,Ecosystems,NA,State Of Ecosystems,NA
status of key biodiversity areas,1,0,GBF,NA,1,1,0,0,1,NA,NA,Biodiversity,NA,State Of Biodiversity,NA
"protected area downgrading, downsizing and degazettement (pd)",1,0,GBF,NA,1,1,0,0,1,NA,NA,Ecosystems,NA,Change In Ecosystems,NA
iucn green list of protected and conserved areas,1,0,GBF,NA,1,1,0,0,1,NA,NA,Ecosystems,NA,Area Conservation,NA
number of hectares of unesco designated sites (natural and mixed world heritage sites and biosphere reserves),1,0,GBF,NA,1,1,0,0,1,NA,NA,Ecosystems,NA,Area Conservation,NA
protected area and oecm management effectiveness (mepca) indicator,1,0,GBF,NA,1,1,0,0,1,NA,NA,Ecosystems,Governance,Area Conservation,Nature-Based Legislation
protected area isolation index (pai),1,0,GBF,NA,1,1,0,0,1,1,NA,Ecosystems,NA,State Of Ecosystems (Coverage),NA
protected areas network metric (pronet),1,0,GBF,NA,1,1,0,0,1,NA,NA,Ecosystems,NA,Area Conservation,NA
extent to which protected areas and other effective area-based conservation measures (oecms) cover key biodiversity areas that are important for migratory species,1,0,GBF,NA,1,1,0,0,1,NA,NA,Ecosystems,Biodiversity,State Of Ecosystems,State Of Biodiversity
coverage of protected areas and oecms and traditional territories (by governance type),1,0,GBF,NA,1,1,0,0,1,NA,NA,Ecosystems,NA,Area Conservation,NA
ramsar management effectiveness tracking tool (r-mett),1,0,GBF,NA,1,1,0,0,1,NA,NA,Ecosystems,NA,Area Conservation,Species Conservation
percentage of biosphere reserves that have a positive conservation outcome and effective management,1,0,GBF,NA,1,1,0,0,1,NA,NA,Governance,Ecosystems,Nature-Based Legislation,Area Conservation
extent of indigenous peoples and local communities lands that have some form of recognition,1,0,GBF,NA,1,1,0,0,1,NA,NA,Knowledge Systems,Human Well-Being,Ilk,Equity
"number of countries implementing national legislation, policies or other measures regarding fpic related to conservation",1,0,GBF,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature-Based Legislation,NA
"proportion of terrestrial, freshwater and marine ecological regions which are conserved by protected areas or other effective area-based conservation measures",1,0,GBF,NA,1,1,0,0,1,NA,NA,Ecosystems,NA,Area Conservation,NA
species threat abatement and restoration metric,1,0,GBF,NA,1,1,0,0,1,NA,NA,Biodiversity,NA,Species Conservation,NA
changing status of evolutionary distinct and globally endangered species (edge index),1,0,GBF,NA,1,1,0,0,1,1,NA,Biodiversity,NA,State Of Biodiversity,Change In Biodiversity
number of cms daughter agreements,1,0,GBF,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature-Based Legislation,NA
sustainable watershed and inland fisheries index,1,0,GBF,NA,1,1,0,0,1,1,NA,Ecosystem Services,NA,Specific Mention Of Sustainable Use Of Species/Ecosystems,NA
red list index (internationally traded species and migratory species),1,0,GBF,NA,1,1,0,0,1,1,NA,Biodiversity,NA,State Of Biodiversity,NA
marine stewardship council certified catch,1,1,"SUA,GBF",1,2,1,1,1,1,1,NA,Ecosystem Services,NA,Specific Mention Of Sustainable Use Of Species/Ecosystems,NA
total catch of cetaceans under international convention for the regulation of whaling,1,0,GBF,NA,1,1,0,0,1,NA,NA,Ecosystem Services,NA,Specific Mention Of Sustainable Use Of Species/Ecosystems,NA
by catch of vulnerable and non-target species,1,0,GBF,NA,1,1,0,0,1,NA,NA,Direct Drivers,NA,Specific Mention Of Over-Exploitation And Unsustainable Use Of Species/Ecosystems,NA
"degree of implementation of international instruments aiming to combat illegal, unreported and unregulated fishing",1,1,"SUA,GBF,SDG",1,3,2,1,1,1,NA,NA,Governance,Governance,Nature-Based Legislation,National/International Cooperation
proportion of legal and illegal wildlife trade consisting of species threatened with extinction,1,0,GBF,NA,1,1,0,0,1,NA,NA,Ecosystem Services,Direct Drivers,Specific Monetary Valuation Of Nature Contribution,Specific Mention Of Over-Exploitation And Unsustainable Use Of Species/Ecosystems
illegal trade by cites species classification,1,0,GBF,NA,1,1,0,0,1,NA,NA,Direct Drivers,NA,Specific Mention Of Over-Exploitation And Unsustainable Use Of Species/Ecosystems,NA
number of countries incorporating trade in their national biodiversity policy,1,0,GBF,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature-Based Legislation,NA
implementation of measures designed to minimize the impacts of fisheries and hunting on migratory species and their habitats,1,0,GBF,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature-Based Legislation,NA
number of msc chain of custody certification holders by distribution country,1,0,GBF,NA,1,1,0,0,1,NA,NA,Ecosystem Services,NA,Specific Mention Of Sustainable Use Of Species/Ecosystems,NA
trends of trade and commercialization in biodiversity-based products that is sustainable and legal (in line with biotrade principles and/or cites requirements),1,0,GBF,NA,1,1,0,0,1,NA,NA,Ecosystem Services,NA,Specific Mention Of Sustainable Use Of Species/Ecosystems,NA
number of invasive alien species in national lists as per the global register of introduced and invasive species,1,0,GBF,NA,1,1,0,0,1,NA,NA,Direct Drivers,NA,Invasive Alien Species,NA
"trends in abundance, temporal occurrence, and spatial distribution of non-indigenous species, particularly invasive, non-indigenous species, notably in risk areas (in relation to the main vectors and pathways of spreading of such species)",1,0,GBF,NA,1,1,0,0,1,NA,NA,Biodiversity,Direct Drivers,State Of Biodiversity,Invasive Alien Species
red list index (impacts of invasive alien species),1,1,"GA,GBF",1,2,1,1,1,1,1,NA,Biodiversity,Direct Drivers,State Of Biodiversity,Invasive Alien Species
trends in loss of reactive nitrogen to the environment,1,0,GBF,NA,1,1,0,0,1,NA,NA,Direct Drivers,NA,Pollution,NA
trends in nitrogen deposition,1,1,"GA,GBF",1,2,1,1,1,1,1,NA,Direct Drivers,NA,Pollution,NA
municipal solid waste collected and managed,1,0,GBF,NA,1,1,0,0,1,NA,NA,Governance,NA,Legislation/Governance,NA
hazardous waste generation,1,0,GBF,NA,1,1,0,0,1,NA,NA,Direct Drivers,NA,Specific Mention Of Over-Exploitation And Unsustainable Use Of Species/Ecosystems,NA
trends in the amount of litter in the water column including microplastics and on the seafloor,1,0,GBF,NA,1,1,0,0,1,NA,NA,Direct Drivers,NA,Pollution,NA
plastic debris density,1,1,"SUA,GBF,SDG",1,3,2,1,1,1,NA,NA,Direct Drivers,NA,Pollution,NA
underwater noise pollution,1,0,GBF,NA,1,1,0,0,1,NA,NA,Direct Drivers,NA,Pollution,NA
"name, amount/ volume/ concentration of highly hazardous pesticides by type (per land/marine area)",1,0,GBF,NA,1,1,0,0,1,NA,NA,Direct Drivers,NA,Pollution,NA
pesticide use per area of cropland,1,0,GBF,NA,1,1,0,0,1,NA,NA,Direct Drivers,NA,Pollution,NA
above-ground biomass stock in forest,1,0,GBF,NA,1,1,0,0,1,NA,NA,Ecosystems,NA,State Of Ecosystems (Coverage),NA
proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies,1,1,"SUA,GBF,SDG",1,3,2,1,1,1,NA,NA,Governance,NA,Legislation/Governance,NA
"number of least developed countries and small island developing states with nationally determined contributions, long-term strategies, national adaptation plans and adaptation communications, as reported to the secretariat of the united nations framework convention on climate change",1,1,"SUA,GBF,SDG",1,3,2,1,1,1,NA,NA,Governance,NA,Nature-Based Legislation,NA
"carbon stocks and annual net ghg emissions, by landuse category, split by natural and non-natural land cover",1,0,GBF,NA,1,1,0,0,1,NA,NA,Direct Drivers,NA,Climate Change,NA
spawning stock biomass (related to commercially exploited species),1,0,GBF,NA,1,1,0,0,1,NA,NA,Ecosystem Services,Biodiversity,Nature Contribution,State Of Biodiversity
volume of production per labour unit by classes of farming/pastoral/forestry enterprise size,1,1,"SUA,GBF,SDG",1,3,2,1,1,1,NA,NA,Human Assets,NA,State Of Economy,NA
agrobiodiversity index,1,0,GBF,NA,1,1,0,0,1,1,NA,Ecosystem Services,Biodiversity,Nature Contribution,State Of Biodiversity
soil organic carbon (soc) stocks,1,1,"GEO,GBF,UNCCD",NA,3,2,1,0,1,1,NA,Ecosystems,Ecosystem Services,Abiotic Conditions,Nature Contribution
proportion of land that is degraded over total land area,1,1,"SUA,GEO,GBF,SDG,UNCCD",1,5,3,2,1,1,1,NA,Direct Drivers,NA,Land Conversion,NA
air emission accounts,1,0,GBF,NA,1,1,0,0,1,NA,NA,Direct Drivers,NA,Climate Change,NA
proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,1,1,"SUA,GBF,SDG",1,3,2,1,1,1,NA,NA,Governance,NA,Legislation/Governance,NA
proportion of population using safely managed drinking water services,1,1,"SUA,GEO,GBF,SDG",1,4,2,2,1,1,1,NA,Human Assets,NA,Coverage Of Basic Needs,Information On Society And Socio-Economics
mortality rate attributed to household and ambient air pollution,1,0,"GBF,SDG",NA,2,2,0,0,1,NA,NA,Human Well-Being,Direct Drivers,Healthy Living Conditions,Pollution
total number of transfers of crop material from the multilateral system of the international treaty on plant genetic resources for food and agriculture (itpgrfa) received in a country,1,0,GBF,NA,1,1,0,0,1,NA,NA,Knowledge Systems,Biodiversity,Information On Biodiversity,Genetic Resources
"total number of permits, or their equivalent, granted for access to genetic resources",1,0,GBF,NA,1,1,0,0,1,NA,NA,Governance,Biodiversity,Nature-Based Legislation,Genetic Resources
"number of countries that require prior informed consent that have published legislative, administrative or policy measures on access and benefit-sharing in the abs clearing-house",1,0,GBF,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature-Based Legislation,NA
number of countries that require prior informed consent that have published information on abs procedures in the abs clearing-house,1,0,GBF,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature-Based Legislation,NA
"number of countries that have adopted legislative, administrative and policy frameworks to ensure fair and equitable sharing of benefits",1,1,"GA,SUA,GBF,SDG",1,4,2,2,2,1,1,NA,Human Well-Being,NA,Equity,NA
estimated percentage of monetary and non-monetary benefits directed towards conservation and sustainable use of biodiversity,1,0,GBF,NA,1,1,0,0,1,NA,NA,Governance,Biodiversity,Nature-Based Funding,Species Conservation
human appropriation of net primary productivity,1,1,"GA,VA,GBF",1,3,1,2,2,1,1,NA,Ecosystems,Direct Drivers,State Of Ecosystems (Coverage),Land Conversion
co2 emission per unit of value added,1,1,"SUA,GBF,SDG",1,3,2,1,1,1,NA,NA,Direct Drivers,NA,Climate Change,NA
change in water-use efficiency over time,1,1,"SUA,GBF,SDG",1,3,2,1,1,1,NA,NA,Human Assets,NA,Infrastructure (Build-Up Area),NA
number of companies publishing sustainability reports,1,1,"SUA,GBF,SDG",1,3,2,1,1,1,NA,NA,Knowledge Systems,NA,Information On Society And Socio-Economics,NA
recycling rate,1,0,GBF,NA,1,1,0,0,1,NA,NA,Knowledge Systems,NA,Information On Society And Socio-Economics,NA
life cycle impact assessment (lcia),1,0,GBF,NA,1,1,0,0,1,NA,NA,Knowledge Systems,NA,Information On Society And Socio-Economics,NA
levels of poverty in developing communities,1,0,GBF,NA,1,1,0,0,1,NA,NA,Human Assets,NA,Income,State Of Economy
number of countries that have the necessary biosafety legal and administrative measures in place,1,0,GBF,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature-Based Legislation,NA
number of countries that implement their biosafety measures,1,0,GBF,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature-Based Legislation,NA
number of countries that have the necessary measures and means for detection and identification of products of biotechnology,1,0,GBF,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature-Based Legislation,NA
number of countries that carry out scientifically sound risk assessments to support biosafety decision-making,1,0,GBF,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature-Based Legislation,NA
number of countries that establish and implement risk management measures,1,0,GBF,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature-Based Legislation,NA
percentage of parties to the cartagena protocol on biosafety implementing the relevant provisions of the protocol,1,0,GBF,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature-Based Legislation,NA
number of countries with legal and technical measures for restoration and compensation,1,0,GBF,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature-Based Funding,NA
percentage of parties to the nagoya - kuala lumpur supplementary protocol,1,0,GBF,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature-Based Legislation,NA
percentage of countries with systems in place for restoration and compensation of damage to conservation and sustainable use of biological diversity,1,0,GBF,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature-Based Legislation,NA
number of countries with mechanisms to facilitate the sharing of and access to information on potential adverse impacts of biotechnology on biodiversity and human health,1,0,GBF,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature-Based Legislation,NA
number of countries with biodiversity-relevant taxes,1,0,GBF,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature-Based Funding,NA
number of countries with biodiversity-relevant charges and fees,1,0,GBF,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature-Based Funding,NA
number of countries with biodiversity-relevant tradable permit schemes,1,0,GBF,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature-Based Legislation,NA
trends in potentially environmentally harmful elements of government support to agriculture (producer support estimate),1,0,GBF,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature Detrimental Legislation,NA
trends in the number and value of government fossil-fuel support measures,1,0,GBF,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature Detrimental Legislation,NA
amount of fossil-fuel subsidies per unit of gross domestic product (production and consumption),1,1,"SUA,GBF,SDG",1,3,2,1,1,1,NA,NA,Governance,NA,Nature Detrimental Legislation,NA
amount of funding provided through the global environment facility and allocated to the biodiversity focal area,1,0,GBF,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature-Based Funding,NA
"foreign direct investment (fdi), official development assistance and south-south cooperation as a proportion of total domestic budget",1,1,"SUA,GBF",1,2,1,1,1,1,NA,NA,Human Assets,NA,Information On Society And Socio-Economics,NA
amount and composition of biodiversity-related finance reported to the oecd creditor reporting system,1,0,GBF,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature-Based Legislation,NA
"dollar value of financial and technical assistance (including through north-south, south-south and triangular cooperation) committed to developing countries",1,0,GBF,NA,1,1,0,0,1,NA,NA,Governance,NA,National/International Cooperation,NA
dollar value of all resources made available to strengthen statistical capacity in developing countries,1,1,"SUA,GBF,SDG",1,3,2,1,1,1,NA,NA,Governance,NA,National/International Cooperation,NA
amount of biodiversity-related philanthropic funding,1,0,GBF,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature-Based Funding,NA
number of countries (and number of instruments) with payments for ecosystem services (pes) programmes,1,0,GBF,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature-Based Funding,NA
"number of countries that have assessed values of biodiversity, in accordance with the convention",1,0,GBF,NA,1,1,0,0,1,NA,NA,Knowledge Systems,NA,Information On Biodiversity,NA
"number of countries that have identified and reported funding needs, gaps and priorities",1,0,GBF,NA,1,1,0,0,1,NA,NA,Knowledge Systems,NA,Information On Society And Socio-Economics,NA
number of countries that have developed national financial plans for biodiversity,1,0,GBF,NA,1,1,0,0,1,NA,NA,Knowledge Systems,NA,Information On Biodiversity,NA
"number of countries that have been provided with the necessary funding and capacity building to undertake assessment values of biodiversity, in accordance with the Convention, and/or identified and reported funding needs, gaps and priorities, and/or developed national financial plans for biodiversity",1,0,GBF,NA,1,1,0,0,1,NA,NA,Governance,Knowledge Systems,Nature-Based Funding,Information On Biodiversity
growth in number of records and species in the living planet index database,1,0,GBF,NA,1,1,0,0,1,1,NA,Knowledge Systems,NA,Information On Biodiversity,NA
species occurrence records accessible through the global biodiversity information facility,1,1,"GA,GBF",1,2,1,1,1,1,1,NA,Knowledge Systems,NA,Information On Biodiversity,NA
growth in marine species occurrence records accessible through ocean biodiversity information system (obis),1,0,GBF,NA,1,1,0,0,1,NA,NA,Knowledge Systems,NA,Information On Biodiversity,NA
proportion of known species assessed through the red list index,1,1,"GA,GBF",1,2,1,1,1,1,1,NA,Biodiversity,NA,Species Conservation,NA
number of assessments on the red list index,1,0,GBF,NA,1,1,0,0,1,1,NA,Biodiversity,NA,Species Conservation,NA
world association of zoos and aquariums (waza) bio-literacy survey (biodiversity literacy in global zoo and aquarium visitors),1,0,GBF,NA,1,1,0,0,1,NA,NA,Knowledge Systems,NA,Information On Society And Socio-Economics,NA
"proportions of positions in national and local institutions, including the legislatures, compared to national distributions, by sex, age, persons with disabilities and population groups",1,0,"GBF,SDG",NA,2,2,0,0,1,NA,NA,Human Well-Being,NA,Equity,NA
