indicators_harmonized,policy,assessment,sources,ipbes,usage,usage_policy,usage_assess,usage_ipbes,indic,indic_ext,var_ext,Categories,Categories_2,Subcategories,Subcategories_2,ipbes_assess
trade in wild animals,NA,1,SUA,1,1,0,1,1,NA,NA,1,Ecosystem Services,NA,Nature Contribution,NA,SUA
governance index,NA,1,SUA,1,1,0,1,1,NA,1,NA,Governance,NA,Legislation/Governance,NA,SUA
catch per unit per effort,NA,1,SUA,1,1,0,1,1,NA,NA,1,Ecosystem Services,NA,Nature Contribution,NA,SUA
undp human development dashboard,NA,1,VA,1,1,0,1,1,NA,1,NA,Knowledge Systems,NA,Information On Society And Socio-Economics,NA,VA
sustainability dashboard,NA,1,VA,1,1,0,1,1,NA,1,NA,Ecosystem Services,NA,Specific Mention Of Sustainable Use Of Species/Ecosystems,NA,VA
genetic diversity,NA,1,VA,1,1,0,1,1,NA,1,NA,Biodiversity,NA,Genetic Diversity,NA,VA
endemic species richness,NA,1,VA,1,1,0,1,1,NA,1,NA,Biodiversity,NA,State Of Biodiversity,NA,VA
environmental awareness,NA,1,VA,1,1,0,1,1,NA,1,NA,Knowledge Systems,NA,Specific Information On Human-Nature Relationship,NA,VA
inclusion of historically disadvantaged stakeholders,NA,1,VA,1,1,0,1,1,NA,1,NA,Human Well-Being,NA,Equity,NA,VA
willingness to pay to protect nature or improve ecosystem services,NA,1,VA,1,1,0,1,1,NA,1,NA,Knowledge Systems,NA,Specific Information On Human-Nature Relationship,NA,VA
willingness to allocate time for nature´s contributions to people conservation,NA,1,VA,1,1,0,1,1,NA,1,NA,Knowledge Systems,NA,Specific Information On Human-Nature Relationship,NA,VA
number of rare or threatened species,NA,1,VA,1,1,0,1,1,NA,1,NA,Biodiversity,NA,State Of Biodiversity,NA,VA
structural and functional connectivity of habitat,NA,1,VA,1,1,0,1,1,NA,1,NA,Ecosystems,NA,State Of Ecosystems (Integrity),NA,VA
proportion of population exposed to air pollution,NA,1,VA,1,1,0,1,1,NA,1,NA,Human Well-Being,Direct Drivers,Healthy Living Conditions,Pollution,VA
photo-rankings,NA,1,VA,1,1,0,1,1,NA,1,NA,Knowledge Systems,NA,Information On Biodiversity,NA,VA
spatial densities of relational values in an area,NA,1,VA,1,1,0,1,1,NA,1,NA,Ecosystems,NA,State Of Ecosystems (Coverage),NA,VA
ethnographic accounts,NA,1,VA,1,1,0,1,1,NA,1,NA,Human Assets,NA,Information On Society And Socio-Economics,NA,VA
themes in a text representing nature´s values,NA,1,VA,1,1,0,1,1,NA,1,NA,Knowledge Systems,NA,Information On Biodiversity,NA,VA
benefits derived from healthy ecosystems and costs caused by its depletion,NA,1,VA,1,1,0,1,1,NA,1,NA,Ecosystem Services,NA,Nature Contribution,NA,VA
stock values of natural capital,NA,1,VA,1,1,0,1,1,NA,1,NA,Ecosystem Services,NA,Specific Monetary Valuation Of Nature Contribution,NA,VA
sustainable development goals index,NA,1,VA,1,1,0,1,1,NA,1,NA,Governance,NA,Legislation/Governance,NA,VA
planetary pressures adjusted human development index (hdi),NA,1,VA,1,1,0,1,1,NA,1,NA,Knowledge Systems,NA,Information On Society And Socio-Economics,NA,VA
sustainable well-being index (swi),NA,1,VA,1,1,0,1,1,NA,1,NA,Ecosystem Services,NA,Specific Mention Of Sustainable Use Of Species/Ecosystems,NA,VA
united nations system of environmental economic accounting,NA,1,VA,1,1,0,1,1,NA,1,NA,Ecosystem Services,NA,Specific Monetary Valuation Of Nature Contribution,NA,VA
reduced cost of road construction,NA,1,VA,1,1,0,1,1,NA,NA,1,Human Assets,NA,Infrastructure (Build-Up Area),NA,VA
reduced cost of road maintenance,NA,1,VA,1,1,0,1,1,NA,NA,1,Human Assets,NA,Infrastructure (Build-Up Area),NA,VA
fewer lives lost,NA,1,VA,1,1,0,1,1,NA,NA,1,Human Well-Being,NA,Healthy Living Conditions,NA,VA
livelihood dependence,NA,1,VA,1,1,0,1,1,NA,NA,1,Knowledge Systems,NA,Information On Society And Socio-Economics,NA,VA
use of natural resource,NA,1,VA,1,1,0,1,1,NA,NA,1,Ecosystem Services,NA,Nature Contribution,NA,VA
peoples’ preferences or spending on safeguarding biodiversity and ecosystem services,NA,1,VA,1,1,0,1,1,NA,NA,1,Knowledge Systems,NA,Specific Information On Human-Nature Relationship,NA,VA
appearance of new grass in grazing areas,NA,1,VA,1,1,0,1,1,NA,1,NA,Knowledge Systems,NA,Ilk,NA,VA
rate of use of pesticides,NA,1,VA,1,1,0,1,1,NA,1,NA,Direct Drivers,NA,Pollution,NA,VA
rate of wood removal,NA,1,VA,1,1,0,1,1,NA,1,NA,Ecosystem Services,NA,Nature Contribution,NA,VA
corruption perception index,NA,1,VA,1,1,0,1,1,NA,1,NA,Governance,NA,Broken Governance,NA,VA
life satisfaction,NA,1,VA,1,1,0,1,1,NA,1,NA,Human Well-Being,NA,Wellness,NA,VA
happiness,NA,1,VA,1,1,0,1,1,NA,1,NA,Human Well-Being,NA,Wellness,NA,VA
number of photos taken by the public in an advert to indicate aesthetic values,NA,1,VA,1,1,0,1,1,NA,1,NA,Ecosystem Services,NA,Nature Contribution,NA,VA
photo series analysis using social media,NA,1,VA,1,1,0,1,1,NA,1,NA,Knowledge Systems,NA,Information On Biodiversity,NA,VA
number of wildlife pictures posted on a photo-sharing website,NA,1,VA,1,1,0,1,1,NA,1,NA,Knowledge Systems,NA,Information On Society And Socio-Economics,NA,VA
global index on indigenous peoples' well-being,NA,1,VA,1,1,0,1,1,NA,1,NA,Knowledge Systems,NA,Specific Information On Ilk And Iplc,NA,VA
holistic health model,NA,1,VA,1,1,0,1,1,NA,1,NA,Human Well-Being,NA,Wellness,NA,VA
living conditions in the arctic,NA,1,VA,1,1,0,1,1,NA,1,NA,Human Well-Being,NA,Healthy Living Conditions,NA,VA
willingness to give up access to land or other resources to protect nature,NA,1,VA,1,1,0,1,1,NA,1,NA,Knowledge Systems,NA,Specific Information On Human-Nature Relationship,NA,VA
costs associated with protecting nature and biodiversity,NA,1,VA,1,1,0,1,1,NA,1,NA,Governance,NA,Nature-Based Funding,NA,VA
costs associated with maintaining ncps of past or future projects,NA,1,VA,1,1,0,1,1,NA,1,NA,Governance,NA,Nature-Based Funding,NA,VA
social welfare function (swf),NA,1,VA,1,1,0,1,1,NA,1,NA,Knowledge Systems,NA,Information On Society And Socio-Economics,NA,VA
"number of countries implementing natural resource accounts, excluding energy, within the system of environmental economic accounting",NA,1,VA,1,1,0,1,1,NA,1,NA,Governance,NA,Nature-Based Legislation,NA,VA
biodiversity in poverty reduction strategies,NA,1,VA,1,1,0,1,1,NA,NA,1,Governance,NA,Nature-Based Legislation,NA,VA
biophysical inventories of biodiversity and ecosystem services,NA,1,VA,1,1,0,1,1,NA,NA,1,Ecosystem Services,NA,Nature Contribution,NA,VA
companies with policies for biodiversity-friendly practices,NA,1,VA,1,1,0,1,1,NA,NA,1,Knowledge Systems,NA,Specific Information On Human-Nature Relationship,NA,VA
national accounts reflecting state of biodiversity and ecosystem services,NA,1,VA,1,1,0,1,1,NA,NA,1,Knowledge Systems,Ecosystem Services,Information On Biodiversity,Nature Contribution,VA
number of countries implementing the system of environmental economic accounting,NA,1,VA,1,1,0,1,1,NA,1,NA,Governance,NA,Nature-Based Legislation,NA,VA
"number of countries that have integrated biodiversity values into national accounting and reporting systems, defined as implementation of the system of environmental-economic accounting (seea)",NA,1,VA,1,1,0,1,1,NA,1,NA,Governance,NA,Nature-Based Legislation,NA,VA
gross ecosystem product,NA,1,VA,1,1,0,1,1,NA,1,NA,Ecosystem Services,NA,Specific Monetary Valuation Of Nature Contribution,NA,VA
sustainable economic welfare (isew),NA,1,VA,1,1,0,1,1,NA,1,NA,Human Assets,NA,State Of Economy,NA,VA
sustainable development index (sdi),NA,1,VA,1,1,0,1,1,NA,1,NA,Knowledge Systems,NA,Specific Information On Human-Nature Relationship,NA,VA
gross national happiness index of bhutan,NA,1,VA,1,1,0,1,1,NA,1,NA,Human Well-Being,NA,Wellness,NA,VA
green gross domestic product,NA,1,VA,1,1,0,1,1,NA,1,NA,Ecosystem Services,NA,Specific Monetary Valuation Of Nature Contribution,NA,VA
nature risk index,NA,1,VA,1,1,0,1,1,NA,1,NA,Direct Drivers,NA,Natural Drivers,NA,VA
climate risk index,NA,1,VA,1,1,0,1,1,NA,1,NA,Direct Drivers,NA,Natural Drivers,NA,VA
invasive alien species are given new names by indigenous peoples and local communities,NA,1,IAS,1,1,0,1,1,NA,NA,1,Knowledge Systems,NA,Ilk,NA,IAS
total imports,NA,1,IAS,1,1,0,1,1,NA,NA,1,Human Assets,NA,State Of Economy,NA,IAS
human population size,NA,1,IAS,1,1,0,1,1,NA,NA,1,Knowledge Systems,NA,Information On Society And Socio-Economics,NA,IAS
number of tourists,NA,1,IAS,1,1,0,1,1,NA,NA,1,Human Well-Being,NA,Recreation,NA,IAS
proportion of cropland,NA,1,IAS,1,1,0,1,1,NA,NA,1,Ecosystem Services,NA,Nature Contribution,NA,IAS
proportion of urban area,NA,1,IAS,1,1,0,1,1,NA,NA,1,Human Assets,NA,Infrastructure (Build-Up Area),NA,IAS
ship calls,NA,1,IAS,1,1,0,1,1,NA,NA,1,Human Assets,NA,Infrastructure (Build-Up Area),NA,IAS
number of people migrating,NA,1,IAS,1,1,0,1,1,NA,NA,1,Knowledge Systems,NA,Information On Society And Socio-Economics,NA,IAS
temperature,NA,1,"IAS,IPCC",1,2,0,2,1,NA,1,1,Ecosystems,NA,Abiotic Conditions,NA,IAS
number of studies on ias available per region,NA,1,IAS,1,1,0,1,1,NA,1,NA,Knowledge Systems,Biodiversity,Information On Biodiversity,Invasive Alien Species,IAS
number of widespread phyla for which no information was available for a particular region,NA,1,IAS,1,1,0,1,1,NA,NA,1,Knowledge Systems,NA,Information On Biodiversity,NA,IAS
comparison of the number of available first records of established alien species for a region with the total number of species recorded for the same region,NA,1,IAS,1,1,0,1,1,NA,1,NA,Knowledge Systems,NA,Information On Biodiversity,NA,IAS
total number of introduced alien species,NA,1,IAS,1,1,0,1,1,NA,NA,1,Biodiversity,NA,Invasive Alien Species,NA,IAS
rate of species accumulation,NA,1,IAS,1,1,0,1,1,NA,NA,1,Biodiversity,NA,Change In Biodiversity,NA,IAS
current distribution of species,NA,1,IAS,1,1,0,1,1,NA,NA,1,Biodiversity,NA,State Of Biodiversity,NA,IAS
human population density,NA,1,IAS,1,1,0,1,1,NA,NA,1,Knowledge Systems,NA,Information On Society And Socio-Economics,NA,IAS
mean annual precipitation,NA,1,IAS,1,1,0,1,1,NA,NA,1,Ecosystems,NA,Abiotic Conditions,NA,IAS
mean annual temperature,NA,1,IAS,1,1,0,1,1,NA,NA,1,Ecosystems,NA,Abiotic Conditions,NA,IAS
evolutionary diversity,NA,1,IAS,1,1,0,1,1,NA,NA,1,Biodiversity,NA,Genetic Diversity,NA,IAS
tree biomass,NA,1,IAS,1,1,0,1,1,NA,NA,1,Biodiversity,NA,State Of Biodiversity,NA,IAS
phylogenetic distance,NA,1,IAS,1,1,0,1,1,NA,NA,1,Biodiversity,NA,Genetic Diversity,NA,IAS
concentration of hydrogen ions (h+),NA,1,IAS,1,1,0,1,1,NA,NA,1,Ecosystems,NA,Abiotic Conditions,NA,IAS
number of species at risk of extinction,NA,1,IAS,1,1,0,1,1,NA,NA,1,Knowledge Systems,Biodiversity,Information On Biodiversity,State Of Biodiversity,IAS
mean body length,NA,1,IAS,1,1,0,1,1,NA,NA,1,Biodiversity,NA,State Of Biodiversity,NA,IAS
growth rates,NA,1,IAS,1,1,0,1,1,NA,1,NA,Biodiversity,NA,State Of Biodiversity,NA,IAS
condition index,NA,1,IAS,1,1,0,1,1,NA,1,NA,Biodiversity,NA,State Of Biodiversity,NA,IAS
totem or culturally important species,NA,1,IAS,1,1,0,1,1,NA,1,NA,Knowledge Systems,NA,Ilk,NA,IAS
functional diversity,NA,1,IAS,1,1,0,1,1,NA,NA,1,Biodiversity,NA,State Of Biodiversity,NA,IAS
macroinvertebrate-based indices,NA,1,IAS,1,1,0,1,1,NA,NA,1,Biodiversity,NA,State Of Biodiversity,NA,IAS
trends in pathways of introduction and spread,NA,1,IAS,1,1,0,1,1,NA,1,NA,Biodiversity,Governance,Invasive Alien Species,Nature-Based Legislation,IAS
trends in numbers of invasive alien species and their impacts,NA,1,IAS,1,1,0,1,1,NA,1,NA,Direct Drivers,NA,Invasive Alien Species,NA,IAS
"trends, mechanisms and severity of invasive alien species impacts",NA,1,IAS,1,1,0,1,1,NA,1,NA,Direct Drivers,NA,Invasive Alien Species,NA,IAS
trends in the allocation of resources towards the prevention or control of invasive alien species,NA,1,IAS,1,1,0,1,1,NA,1,NA,Direct Drivers,Governance,Invasive Alien Species,Nature-Based Funding,IAS
trends in establishment and national adoption of international agreements relevant to the prevention and control of invasive alien species,NA,1,IAS,1,1,0,1,1,NA,1,NA,Direct Drivers,Governance,Invasive Alien Species,Nature-Based Legislation,IAS
trends in numbers of countries with national legislation and other policy measures relevant to the prevention and/or control of invasive alien species,NA,1,IAS,1,1,0,1,1,NA,1,NA,Direct Drivers,Governance,Invasive Alien Species,Nature-Based Legislation,IAS
trends in the prevention of invasive alien species,NA,1,IAS,1,1,0,1,1,NA,1,NA,Direct Drivers,Governance,Invasive Alien Species,Nature-Based Legislation,IAS
growth in information relevant to informing policy on invasive alien species prevention and control,NA,1,IAS,1,1,0,1,1,NA,1,NA,Direct Drivers,Knowledge Systems,Invasive Alien Species,Information On Biodiversity,IAS
trends in successful control and eradications of invasive alien species,NA,1,IAS,1,1,0,1,1,NA,1,NA,Direct Drivers,Governance,Invasive Alien Species,Nature-Based Legislation,IAS
existence and uptake of multilateral agreements and national legislation relevant to the prevention and control of invasive alien species,NA,1,IAS,1,1,0,1,1,NA,1,NA,Direct Drivers,Governance,Invasive Alien Species,Nature-Based Legislation,IAS
resourcing of invasive alien species prevention and control activities,NA,1,IAS,1,1,0,1,1,NA,1,NA,Direct Drivers,Governance,Invasive Alien Species,Legislation/Governance,IAS
national funding for resourcing of biological invasions policy and management implementation,NA,1,IAS,1,1,0,1,1,NA,NA,1,Biodiversity,Governance,Invasive Alien Species,Nature-Based Funding,IAS
global funding for resourcing of biological invasions policy and management implementation,NA,1,IAS,1,1,0,1,1,NA,NA,1,Biodiversity,Governance,Invasive Alien Species,Nature-Based Funding,IAS
number of biogeographic regions with risk-associated activities,NA,1,IAS,1,1,0,1,1,NA,1,NA,Direct Drivers,Ecosystems,Specific Mention Of Over-Exploitation And Unsustainable Use Of Species/Ecosystems,State Of Ecosystems,IAS
trends in numbers of facilities in the region,NA,1,IAS,1,1,0,1,1,NA,1,NA,Knowledge Systems,Human Well-Being,Information On Society And Socio-Economics,Healthy Living Conditions,IAS
"number of tourists, scientists and facilities per biogeographic region",NA,1,IAS,1,1,0,1,1,NA,1,NA,Knowledge Systems,NA,Information On Society And Socio-Economics,NA,IAS
number of alien and invasive taxa per biogeographic region,NA,1,IAS,1,1,0,1,1,NA,1,NA,Direct Drivers,NA,Invasive Alien Species,NA,IAS
trends in extinction risk of birds impacted by invasive species,NA,1,IAS,1,1,0,1,1,NA,1,NA,Direct Drivers,Biodiversity,Invasive Alien Species,Change In Biodiversity,IAS
prospective inclusion of other native taxa and threatened habitats,NA,1,IAS,1,1,0,1,1,NA,1,NA,Knowledge Systems,NA,Information On Biodiversity,NA,IAS
trends in adoption of multinational agreements to reduce invasive alien species threats,NA,1,IAS,1,1,0,1,1,NA,1,NA,Direct Drivers,Governance,Invasive Alien Species,Nature-Based Legislation,IAS
trends in invasive alien species relevant submissions to managers,NA,1,IAS,1,1,0,1,1,NA,1,NA,Direct Drivers,NA,Invasive Alien Species,NA,IAS
trends in invasive alien species eradication at different scales,NA,1,IAS,1,1,0,1,1,NA,1,NA,Direct Drivers,NA,Invasive Alien Species,NA,IAS
number of alien taxa,NA,1,IAS,1,1,0,1,1,NA,NA,1,Direct Drivers,NA,Invasive Alien Species,NA,IAS
species negatively impacting biodiversity,NA,1,IAS,1,1,0,1,1,NA,NA,1,Knowledge Systems,Biodiversity,Information On Biodiversity,Change In Biodiversity,IAS
trends in species at risk of localized extinction in a protected area,NA,1,IAS,1,1,0,1,1,NA,NA,1,Biodiversity,NA,State Of Biodiversity,NA,IAS
extent of which essential policy and management approaches have been adopted,NA,1,IAS,1,1,0,1,1,NA,NA,1,Governance,NA,Legislation/Governance,NA,IAS
gross national product,NA,1,IAS,1,1,0,1,1,NA,1,NA,Human Assets,NA,State Of Economy,NA,IAS
index of sustaibale economic welfare,NA,1,IAS,1,1,0,1,1,NA,1,NA,Human Assets,NA,State Of Economy,NA,IAS
spread of alien species by pathway,NA,1,IAS,1,1,0,1,1,NA,1,NA,Direct Drivers,NA,Invasive Alien Species,NA,IAS
"impact of alien species on sensitive places, species and functions",NA,1,IAS,1,1,0,1,1,NA,1,NA,Direct Drivers,NA,Invasive Alien Species,NA,IAS
interventions to limit spread and reduce impact of alien species,NA,1,IAS,1,1,0,1,1,NA,1,NA,Direct Drivers,NA,Invasive Alien Species,NA,IAS
alien species occurrence,NA,1,IAS,1,1,0,1,1,NA,NA,1,Direct Drivers,NA,Invasive Alien Species,NA,IAS
status of an individual or species as native or alien,NA,1,IAS,1,1,0,1,1,NA,NA,1,Direct Drivers,NA,Invasive Alien Species,NA,IAS
invasive alien species impact,NA,1,IAS,1,1,0,1,1,NA,NA,1,Direct Drivers,NA,Invasive Alien Species,NA,IAS
trends in numbers and spatial distribution of invasive alien species and their impacts,NA,1,IAS,1,1,0,1,1,NA,1,NA,Direct Drivers,NA,Invasive Alien Species,NA,IAS
trends in the prevention and eradication and control of invasive alien species,NA,1,IAS,1,1,0,1,1,NA,1,NA,Direct Drivers,Governance,Invasive Alien Species,Legislation/Governance,IAS
trends in successful eradications of invasive alien species,NA,1,IAS,1,1,0,1,1,NA,1,NA,Direct Drivers,NA,Invasive Alien Species,NA,IAS
improvement in conseration status of species threatened by invasive alien species,NA,1,IAS,1,1,0,1,1,NA,1,NA,Direct Drivers,Biodiversity,Invasive Alien Species,Change In Biodiversity,IAS
